Question	Answer	Tags
两角和差正弦公式是什么？	sin(α±β) = sinαcosβ ± cosαsinβ。编码：正弦=异名相乘，符号不变。	数学,三角函数,公式
两角和差余弦公式是什么？	cos(α±β) = cosαcosβ ∓ sinαsinβ。编码：余弦=同名相乘，符号相反。	数学,三角函数,公式
二倍角正弦公式是什么？	sin2α = 2sinαcosα。编码：双倍僧人=2个僧人×和尚。	数学,三角函数,公式
二倍角余弦公式有几种等价形式？	三种：cos2α = cos²α-sin²α = 2cos²α-1 = 1-2sin²α。渔夫有三副面具。	数学,三角函数,公式
正弦定理是什么？	a/sinA = b/sinB = c/sinC = 2R。边与对角的正弦比=外接圆直径。	数学,三角,定理
余弦定理是什么？	c² = a²+b²-2abcosC。毕达哥拉斯的修正版，直角时cos90°=0退化为勾股定理。	数学,三角,定理
对数的运算法则？	log_a(MN) = log_a(M)+log_a(N)。对数把乘→加，除→减，幂→乘——"降级运算"。	数学,对数,公式
椭圆的标准方程是什么？	x²/a² + y²/b² = 1。a是长半轴，b是短半轴。编码：鹅蛋被x和y线穿过。	数学,几何,公式
椭圆和双曲线的焦距公式区别？	椭圆：c²=a²-b²（长减短）；双曲线：c²=a²+b²（加）。椭圆压缩，双曲线拉伸。	数学,几何,对比
点到直线距离公式是什么？	d = |Ax₀+By₀+C| / √(A²+B²)。编码：代入绝对值除以斜边长度。	数学,几何,公式
向量点积和叉积的区别？	点积=a·b·cosθ（看投影）；叉积模=a·b·sinθ（看面积）。点积渔夫，叉积僧人。	数学,向量,对比
球的体积和表面积公式？	V=4/3πr³，S=4πr²。足球被切成三层（体积），外面包4片圆标签（面积）。	数学,几何,公式
等差数列求和公式？	Sn = n(a₁+aₙ)/2 = na₁+n(n-1)d/2。编码：项数×首尾平均。	数学,数列,公式
基本求导公式sin和cos的关系？	(sinx)'=cosx，(cosx)'=-sinx。sin变cos，cos变负sin——互为转世。	数学,微积分,公式
e^x的求导特点？	(e^x)'=e^x，求导不变！天然美。而a^x求导多乘lna。	数学,微积分,公式
韦达定理的内容？	x₁+x₂=-b/a，x₁·x₂=c/a。编码：卫达骑马，马背驮两根萝卜，标着"和=-b/a"和"积=c/a"。	数学,代数,公式
