Question	Answer	Tags
port词根的含义是什么？	搬运、携带（如transport=运输，export=出口，import=进口）	09-english-word
dict词根的含义是什么？	说、讲（如predict=预测，dictionary=词典，contradict=反驳）	09-english-word
duct/duc词根的含义是什么？	引导、带领（如produce=生产，educate=教育，introduce=介绍）	09-english-word
vert/vers词根的含义是什么？	转、转向（如convert=转变，reverse=反转，universe=宇宙）	09-english-word
ject词根的含义是什么？	投、掷（如project=项目/投射，reject=拒绝，inject=注射）	09-english-word
spect/spec词根的含义是什么？	看（如inspect=检查，respect=尊重，expect=期待）	09-english-word
scrib/script词根的含义是什么？	写（如describe=描述，prescribe=开处方，manuscript=手稿）	09-english-word
tract词根的含义是什么？	拉、拖（如attract=吸引，extract=提取，contract=合同/收缩）	09-english-word
ced/cess词根的含义是什么？	走、行进（如proceed=继续，succeed=成功，exceed=超过）	09-english-word
常用前缀un-的含义是什么？	不、否定、相反（如unhappy=不高兴，unable=不能，unlock=解锁）	09-english-word
常用前缀re-的含义是什么？	再、重新（如rewrite=重写，review=复习，return=返回）	09-english-word
常用前缀pre-的含义是什么？	在...之前（如preview=预览，predict=预测，prepare=准备）	09-english-word
常用前缀dis-的含义是什么？	不、否定、分开（如disagree=不同意，discover=发现，disconnect=断开）	09-english-word
常用前缀mis-的含义是什么？	错误地（如mistake=错误，misunderstand=误解）	09-english-word
常用前缀inter-的含义是什么？	在...之间、相互（如international=国际的，internet=互联网）	09-english-word
常用前缀trans-的含义是什么？	跨过、转移（如transport=运输，transform=转变）	09-english-word
常用前缀ex-的含义是什么？	出、向外（如export=出口，exit=出口，exclude=排除）	09-english-word
常用前缀im-/in-的含义是什么？	进入、向内（如import=进口，inject=注射，include=包含）；也可表示"不"（如impossible=不可能）	09-english-word
常用前缀sub-的含义是什么？	在...下面（如subway=地铁，submarine=潜水艇）	09-english-word
常用后缀-tion/-sion的含义是什么？	表示名词，动作或状态（如education=教育，decision=决定）	09-english-word
常用后缀-able/-ible的含义是什么？	表示形容词，能够...的（如portable=便携的，possible=可能的）	09-english-word
常用后缀-ly的含义是什么？	表示副词，...地（如quickly=快速地，carefully=仔细地）	09-english-word
常用后缀-ment的含义是什么？	表示名词，动作的结果或手段（如development=发展，government=政府）	09-english-word
常用后缀-ous/-ious的含义是什么？	表示形容词，充满...的（如dangerous=危险的，famous=著名的）	09-english-word
词根词缀记忆法的核心优势是什么？	掌握词根就像掌握了造字密码，可以批量记忆衍生词，遇到生词也能猜出大意	09-english-word
