Question	Answer	Tags
前20号元素的谐音口诀是什么？	青海里皮朋，探蛋养福奶，那美女归林，留绿牙嫁给他。（氢氦锂铍硼，碳氮氧氟氖，钠镁铝硅磷，硫氯氩钾钙）	化学,元素周期表,口诀
21-36号元素的谐音口诀是什么？	抗太烦各猛，铁姑捏铜心，嫁这神仙秀客。（钪钛钒铬锰，铁钴镍铜锌，镓锗砷硒溴氪）	化学,元素周期表,口诀
氢(H)的编码图像是什么？	🎈氢气球。氢气最轻，气球上浮。	化学,元素,编码
碳(C)的编码图像是什么？	💎钻石。钻石就是碳的结晶。	化学,元素,编码
钠(Na)的编码图像是什么？	🧂食盐。氯化钠=食盐。	化学,元素,编码
铁(Fe)的编码图像是什么？	🗡️铁剑。铁=金属的代名词。	化学,元素,编码
铜(Cu)的编码图像是什么？	🏛️自由女神像。铜绿=自由女神的颜色。	化学,元素,编码
Kr(氪)的编码图像是什么？	🦸超人。超人来自氪星（Krypton）。	化学,元素,编码
碱金属Li、Na、K活泼性如何变化？	从Li→Na→K活泼性递增。口诀：锂钠钾，往上炸（越往下越剧烈）。	化学,元素,规律
Na(钠)和K(钾)的焰色反应分别是什么颜色？	钠：黄色🟡；钾：紫色🟣。口诀：钠黄钾紫。	化学,元素,对比
Fe²⁺和Fe³⁺的溶液颜色区别？	Fe²⁺（亚铁离子）：浅绿色🟢；Fe³⁺（铁离子）：黄色/棕黄色🟡。	化学,离子,对比
Cu单质和Cu²⁺的颜色区别？	Cu单质：红/紫红色🔴；Cu²⁺水溶液：蓝色🔵。	化学,离子,对比
卤素F、Cl、Br常温状态分别是什么？	F：淡黄绿气体；Cl：黄绿气体；Br：红棕液体（常温唯一液态非金属）。	化学,卤素,规律
惰性气体He、Ne、Ar、Kr的编码口诀？	氦氖氩氪，懒到家。四兄弟开派对：氦变声、氖霓虹、氩灯泡、氪超人。	化学,元素,编码
对数换底公式是什么？	log_a(b) = log_c(b) / log_c(a)。编码：换底=新底做分母。	化学,公式,对数
碱土金属Be、Mg、Ca的编码口诀？	铍镁钙，硬到脆。Be=🛡️盾牌（轻而硬）、Mg=📸闪光灯（燃烧白光）、Ca=🦴骨头（补钙）。	化学,元素,编码
