Question	Answer	Tags
00的谐音编码是什么？	🔔 铃铛侠（líng dāng xiá）	数字编码 谐音
01的谐音编码是什么？	💊 灵药（líng yào）	数字编码 谐音
02的谐音编码是什么？	🎐 铃儿（líng ér）	数字编码 谐音
03的谐音编码是什么？	🔄 三脚凳（líng shān / sān jiǎo dèng）	数字编码 谐音
04的谐音编码是什么？	🍿 零食（líng sì）	数字编码 谐音
05的谐音编码是什么？	⬟ 五边形咒符（líng wǔ）	数字编码 谐音
06的谐音编码是什么？	🚶 领路（lǐng lù）	数字编码 谐音
07的谐音编码是什么？	🚩 令旗（lìng qí）	数字编码 谐音
08的谐音编码是什么？	🛼 溜溜鞋（liū liū xié）	数字编码 谐音
09的谐音编码是什么？	🌰 菱角（líng jiǎo）	数字编码 谐音
10的谐音编码是什么？	👔 衣领（yī lǐng）	数字编码 谐音
11的谐音编码是什么？	🥢 筷子（kuài zi）	数字编码 谐音
12的谐音编码是什么？	👶 婴儿（yīng ér）	数字编码 谐音
13的谐音编码是什么？	👨‍⚕️ 医生（yī shēng）	数字编码 谐音
14的谐音编码是什么？	🔑 钥匙（yào shi）	数字编码 谐音
15的谐音编码是什么？	🦜 鹦鹉（yīng wǔ）	数字编码 谐音
16的谐音编码是什么？	🍎 石榴（shí liu）	数字编码 谐音
17的谐音编码是什么？	🧪 仪器（yī qī）	数字编码 谐音
18的谐音编码是什么？	💰 腰包（yāo bāo）	数字编码 谐音
19的谐音编码是什么？	🍶 药酒（yào jiǔ）	数字编码 谐音
20的谐音编码是什么？	💍 耳环（èr líng）	数字编码 谐音
21的谐音编码是什么？	🐊 鳄鱼（è yú）	数字编码 谐音
22的谐音编码是什么？	🦆 鸭子（èr èr）	数字编码 谐音
23的谐音编码是什么？	🧘 和尚（hé shàng）	数字编码 谐音
24的谐音编码是什么？	⏰ 闹钟（èr sì）	数字编码 谐音
25的谐音编码是什么？	🎻 二胡（èr hú）	数字编码 谐音
26的谐音编码是什么？	🌊 河流（hé liú）	数字编码 谐音
27的谐音编码是什么？	🎧 耳机（ěr jī）	数字编码 谐音
28的谐音编码是什么？	👊 恶霸（è bà）	数字编码 谐音
29的谐音编码是什么？	🧱 阿胶（ē jiāo）	数字编码 谐音
30的谐音编码是什么？	🛺 三轮（sān lún）	数字编码 谐音
