Question	Answer	Tags
冒泡排序的原理和复杂度？	相邻元素两两比较，大的往后"冒泡"。O(n²)。编码：两两冒泡→双层循环。	编程,算法,排序
快速排序的原理和复杂度？	选基准(pivot)，小的放左大的放右，递归处理。平均O(n log n)，最坏O(n²)。编码：老师分队。	编程,算法,排序
归并排序的原理？	分治法：先拆成小段，再两两合并。稳定O(n log n)。编码：拆牌合牌→双指针合并。	编程,算法,排序
二分搜索的原理和复杂度？	有序数组中每次取中间值比较，缩小一半范围。O(log n)。编码：猜数字砍半→lo/hi夹逼。	编程,算法,搜索
6种排序算法的定位宫殿？	图书馆书架区：冒泡=气泡灯箱、选择=选苹果篮、插入=扑克桌、快排=指挥台、归并=两摞牌、堆排=倒三角果树。	编程,算法,宫殿
冒泡排序的代码模板核心逻辑？	双层循环：外层i从0到n，内层j从0到n-i-1，比较arr[j]和arr[j+1]，大的交换到后面。	编程,算法,代码
二分搜索的代码模板核心逻辑？	lo=0, hi=len-1。while lo<=hi: mid=(lo+hi)//2，比较mid与target，调整lo或hi。	编程,算法,代码
算法复杂度O(n log n)代表什么？	介于O(n)和O(n²)之间。归并排序和快速排序的平均复杂度。n=1000时约10000次操作。	编程,算法,复杂度
排序算法中哪些是稳定的？	归并排序稳定（相同元素保持原顺序），快速排序和堆排序不稳定。	编程,算法,排序
什么是设计模式？	软件设计中反复出现的问题的解决方案模板。如单例模式、工厂模式、观察者模式等。	编程,设计模式,概念
堆排序的原理？	建大顶堆，每次取堆顶(最大值)放到末尾。稳定O(n log n)。编码：堆顶摘果。建堆从最后一个非叶子节点开始调整。	编程,算法,排序
单例模式(Singleton)的作用？	确保一个类只有一个实例。编码：单例=单人宿舍，只能住一个人。应用场景：数据库连接池、日志。	编程,设计模式,创建型
工厂模式(Factory)的作用？	用工厂方法创建对象，不直接new。编码：工厂=你下订单，工厂造产品。如不同数据库的连接创建。	编程,设计模式,创建型
观察者模式(Observer)的作用？	一对多依赖，对象状态变化时自动通知所有观察者。编码：订阅号=你关注了，发文章你就收到。	编程,设计模式,行为型
Linux命令chmod 755的含义？	所有者rwx(7=4+2+1)、组r-x(5=4+0+1)、其他r-x(5)。编码：755=齐(7)捂(5)捂(5)嘴。	编程,Linux,权限
Linux命令grep的作用？	搜索文件中的文本模式。grep 'error' log.txt。编码：GREP=Global Regular Expression Print。	编程,Linux,命令
Linux命令ps aux的作用？	显示所有运行中的进程。a=所有用户、u=详细信息、x=包括无终端的进程。编码：PS=Process Status。	编程,Linux,命令
链表(Linked List)和数组(Array)的区别？	数组：连续内存，随机访问O(1)，插入O(n)。链表：非连续，顺序访问O(n)，插入O(1)。编码：数组=排队，链表=传纸条。	编程,数据结构,对比
栈(Stack)和队列(Queue)的区别？	栈=LIFO后进先出(叠盘子)；队列=FIFO先进先出(排队)。编码：栈=子弹夹，队列=排队买奶茶。	编程,数据结构,对比
Git的基本命令有哪些？	git add(暂存)→git commit(提交)→git push(推送)→git pull(拉取)。编码：ACPPL=苹果(A)橘子(C)推(P)拉(P)。	编程,Git,版本控制
什么是RESTful API？	一种Web API设计风格：GET(获取)、POST(创建)、PUT(更新)、DELETE(删除)。编码：CRUD=增删改查。	编程,Web,概念
