Question	Answer	Tags
LLM辅助编码记忆的方法？	用prompt生成谐音、画面、宫殿编码等助记法	LLM辅助记忆,方法
LLM超时怎么处理？	分批处理+缓存结果+设置降级方案	LLM辅助记忆,技术
推荐的国产LLM有哪些？	DeepSeek、通义千问、Kimi	LLM辅助记忆,工具
如何用LLM生成记忆宫殿？	提供地点列表+知识清单，让LLM生成荒诞联想画面	LLM辅助记忆,方法
LLM辅助制卡的prompt模板核心要素？	格式要求+知识范围+数量+质量标准	LLM辅助记忆,实践
什么是"分批处理"策略？	将大量内容分成小批次发送给LLM，避免超时和截断	LLM辅助记忆,技术
LLM生成内容为什么需要人工审核？	LLM可能产生幻觉(hallucination)，生成错误信息	LLM辅助记忆,质量
如何缓存LLM的输出结果？	将生成结果保存为本地文件，避免重复调用	LLM辅助记忆,技术
用LLM做"谐音编码"的例子？	如：mitochondria→"米偷康德里啊"→米偷了康德的里啊	LLM辅助记忆,示例
LLM辅助记忆的"降级方案"是什么？	主LLM不可用时，切换到备用LLM或手动处理	LLM辅助记忆,技术
如何用LLM把文字转化为画面？	提示LLM用五感描述（视觉/听觉/触觉/嗅觉/味觉）重新编码	LLM辅助记忆,方法
LLM辅助记忆的伦理考量？	不过度依赖，保持主动思考能力，数据隐私保护	LLM辅助记忆,伦理
什么是"结构化prompt"？	明确指定角色、任务、格式、约束的prompt写法	LLM辅助记忆,技巧
如何用LLM做"苏格拉底式提问"？	让LLM不断追问为什么，深化理解而非简单记忆	LLM辅助记忆,方法
LLM在记忆训练中的角色定位？	辅助工具，不是替代品——用它加速而非跳过思考	LLM辅助记忆,原则
如何用LLM生成故事串联零散知识点？	给LLM一组关键词，要求生成一个连贯的荒诞故事	LLM辅助记忆,方法
LLM的"温度参数"如何影响记忆辅助？	温度高→更有创意的联想；温度低→更准确的信息	LLM辅助记忆,技巧
如何批量让LLM为术语生成通俗解释？	准备术语列表+统一prompt模板，循环调用API	LLM辅助记忆,工作流
LLM辅助翻译专业术语的技巧？	要求"用小学生能懂的语言解释"+提供上下文	LLM辅助记忆,技巧
LLM辅助记忆 vs 传统记忆法的优势？	速度：秒级生成vs手动构思；个性化：可针对个人经验定制	LLM辅助记忆,对比
