Question	Answer	Tags
位置细胞是什么？	海马体中对特定空间位置激活的神经元，由O'Keefe于1971年发现，为每个熟悉空间建立独立神经表征	记忆宫殿
网格细胞是什么？	内嗅皮层中形成六角形坐标系统的神经元，由Moser夫妇发现（2014年诺贝尔奖），提供空间度量框架	记忆宫殿
多层宫殿系统是什么？	通过"楼层"概念扩展宫殿容量，主宫殿→子宫殿的分层嵌套结构，每层50-100个定位点	记忆宫殿
Maguire 2003年记忆冠军大脑研究发现？	记忆冠军大脑先天结构与普通人无差异，优势完全来自空间策略使用，可通过训练获得	记忆宫殿
定位点选取的5大原则？	独特性（不混淆）、均匀分布、路径连贯、情感关联、感官丰富	记忆宫殿
最优定位点间距是多少？	5-8步，与工作记忆容量（7±2组块）和网格细胞自然激活间距吻合	记忆宫殿
单个宫殿最优定位点数量？	12-15个是平衡效率和复杂度的最佳选择，少于10个效率太低，超过20个容易迷路	记忆宫殿
动态记忆宫殿是什么？	超越静态放置，让信息在宫殿中"动起来"，包括角色移动、视角切换、时空变换，比静态放置记忆保持率高30-40%	记忆宫殿
宫殿容量扩展的层级结构？	单个定位点1-2条→单个宫殿15-30条→宫殿群150-300条→宫殿网络750-1500条→宫殿城市7500-15000条	记忆宫殿
身体宫殿有多少个标准定位点？	10个标准定位点（头顶到脚底），扩展版本20个（增加左右区分）	记忆宫殿
移动宫殿是什么？	以实际旅行路线为记忆空间，天然容量大（30-50个定位点），适合序列记忆如演讲稿和历史时间线	记忆宫殿
宫殿叠加法是什么？	在同一位置通过颜色、时间、视角叠加多层信息，叠加层数不宜超过3层	记忆宫殿
VR记忆宫殿的优势？	完全可控环境、沉浸式体验、无限扩展、可重复体验，VR组记忆准确率比桌面组高8.8%	记忆宫殿
宫殿间隔复习计划？	新宫殿每天走1次×7天→每周1次×4天→每月1次，过期信息清空后重新利用	记忆宫殿
记忆宫殿主要激活大脑哪个网络？	默认模式网络（DMN），mPFC通过联合表征将项目与情境绑定在一起	记忆宫殿
