Question	Answer	Tags
锚定效应是什么？	做判断时过度依赖最先获得的信息，即使该信息无关或不合理，调整总是不充分的	认知偏差
可得性偏差是什么？	容易想到的事就被认为更常见，由Tversky和Kahneman于1973年提出	认知偏差
确认偏误是什么？	只关注支持自己观点的信息，忽略反面证据，是影响最广泛的认知偏差	认知偏差
虚假记忆是怎么产生的？	来源监控失败，将想象、他人叙述或新闻报道误认为亲身经历，大脑没有"真假记忆标记系统"	认知偏差
后见之明偏差是什么？	知道结果后倾向于认为自己事先就预测到了，即"我早就知道了"效应	认知偏差
峰终定律是什么？	人们对体验的评价主要取决于峰值（最强烈时刻）和结尾感受，而非总时长，由卡尼曼提出	认知偏差
达克效应是什么？	能力不足者高估自己（元认知盲区），能力优秀者略微低估自己，由Dunning和Kruger于1999年提出	认知偏差
虚假一致性偏差是什么？	高估他人与自己持有相同观点的程度，即"大家都这么想吧"的心理	认知偏差
Loftus车祸实验的关键发现？	仅改变问题中的动词（hit→smashed），速度估计相差约9mph，32%的人"记得"不存在的碎玻璃	认知偏差
DRM范式中虚假回忆率约为多少？	听了相关词后，约55%的人在自由回忆中"记得"从未出现的关键诱饵词	认知偏差
卡尼曼的结肠镜实验说明了什么？	结尾较不痛苦的延长组对整个体验评价更好，证明峰终定律——结尾感受决定整体评价	认知偏差
达克效应的四个阶段？	愚昧之巅→绝望之谷→启蒙之坡→持续平稳高原	认知偏差
认知偏差的STOP对抗框架？	Stop（停下）→Think（思考偏差类型）→Obtain（获取客观数据）→Proceed（修正后行动）	认知偏差
认知偏差按记忆过程分为哪三类？	编码阶段偏差（确认偏差、锚定效应）、存储阶段偏差（虚假记忆、峰终定律）、检索阶段偏差（后见之明、可得性偏差）	认知偏差
对抗确认偏差最有效的策略？	主动搜索反驳证据+钢铁人论证法（先理解对方最强论点再回应）	认知偏差
