Question	Answer	Tags
万字中文文章记忆的核心流程？	速读提取结构→精读提取关键词→画面编码→宫殿放置→故事法串联→主动回忆→间隔复习	长篇文章 流程
万字中文文章需要几遍阅读？	5遍：速读→精读→编码→串联→回忆，每遍30-60分钟	长篇文章 遍数
万字英文文章的第一步是什么？	词汇预处理：提取生词，用词根词缀法编码	长篇文章 英文
长篇文章记忆的关键原则？	分层编码、分段放置、间隔巩固，不要试图一次记住	长篇文章 原则
记忆宫殿在长篇文章中的应用？	每段一个站点，将核心概念转化为画面放在站点上	长篇文章 宫殿
多语言编程不混淆的关键？	每种语言用独立宫殿，相似语法用对比表格，通过项目实战巩固	编程 不混淆
语法对比法的核心？	将相似语法放在一起对比（如Python vs JavaScript的循环）	编程 对比
设计模式怎么记忆？	模式编码法：将设计模式编码为画面（如单例模式→一个独居的人）	编程 模式
API宫殿法怎么用？	将常用API按功能分组，放在记忆宫殿的不同站点上	编程 API
Python和JavaScript循环语法对比？	Python: for x in list | JS: for(let x of list) / for(let i=0;i<n;i++)	编程 对比
复合记忆方法的核心组合？	宫殿+编码+间隔重复（最核心组合）	复合 核心
考研备考的复合方案？	政治大题（宫殿+时间线）+英语词汇（词根+联想）+专业课（编码+宫殿）	复合 考研
法考备考的复合方案？	法条（编码+宫殿）+案例（故事法）+概念对比（对比法）	复合 法考
医考备考的复合方案？	解剖（宫殿+画面）+药理（编码+对比）+病理（故事法+宫殿）	复合 医考
演讲准备的复合方案？	内容（宫殿法）+结构（思维导图）+数据（编码法）+故事（故事法）	复合 演讲
技术面试的复合方案？	算法（宫殿+编码）+系统设计（思维导图+宫殿）+项目经验（故事法）	复合 面试
编码层次化是什么？	宏观（章节）→中观（段落）→微观（关键词），三层编码	复合 层次
宫殿多层化是什么？	主宫殿→子宫殿→孙宫殿，不同层级放不同粒度的信息	复合 多层
复习节奏化是什么？	不同内容不同复习频率，核心内容高频复习，细节低频复习	复合 节奏
工具协同化是什么？	Anki（间隔重复）+思维导图（知识结构）+笔记软件（详细记录）+宫殿（有序信息）	复合 工具
