Question	Answer	Tags
足球场标准尺寸是多少?	100-110米×64-75米。球门7.32×2.44米。禁区16.5×40.32米。中圈半径9.15米。	体育,足球,规则
足球越位规则是什么?	进攻球员比倒数第二个防守球员更靠近球门线时越位。编码:"越位"→"越味",越线就变味。	体育,足球,规则
NBA篮球三分线距离?	NBA 7.24米,FIBA 6.75米。编码:"三分线"→"三鲜线",过了这条线投进值三分。	体育,篮球,规则
排球每局多少分?网高多少?	每局25分(决胜局15分),五局三胜。网高:男2.43米,女2.24米。	体育,排球,规则
网球四大满贯分别是什么场地?	澳网(硬地)、法网(红土)、温网(草地)、美网(硬地)。	体育,网球,赛事
乒乓球每局几分?	每局11分,7局4胜(单打)/5局3胜(双打)。球直径40mm,重2.7克。	体育,乒乓球,规则
羽毛球最快速度可达多少?	493公里/小时。球重4.74-5.50克,16根鹅毛。每局21分,三局两胜。	体育,羽毛球,数据
足球中"帽子戏法"是什么意思?	一名球员在一场比赛中进三球。编码:"帽子戏法"→"魔术师进三球"。	体育,足球,术语
篮球中什么是"三双"?	一名球员在得分、篮板、助攻、盖帽、抢断中三项达到两位数。	体育,篮球,术语
排球中“自由人”(Libero)是什么？	专门负责防守的球员，穿不同颜色球衣，不能发球和扣球，在3米线后活动。	体育,排球,术语
乒乓球的“搓球”和“削球”区别？	搓球：制造下旋让球低平过网；削球：大幅度下旋防守。编码：“搓球”→“错球”，让对手打错。	体育,乒乓球,技术
太极拳的主要流派有哪些？	陈式(刚柔并济)、杨式(舒展大方)、吴式(小架紧凑)、武式(小架紧凑)、孙式(活步灵活)。编码：陈杨吴武孙。	体育,武术,流派
少林功夫的核心拳法？	少林五拳：龙(练神)、虎(练骨)、豹(练力)、蛇(练气)、鹤(练精)。编码：龙虎豹蛇鹤=五形拳。	体育,武术,少林
奥运会田径100米世界纪录？	男子：博尔特9.58秒(2009)。女子：格里菲斯-乔伊纳10.49秒(1988)。编码：博尔特=闪电侠9.58。	体育,田径,纪录
跳高的"福斯贝里背越式"是什么？	1968年福斯贝里发明的背对横杆过杆技术，取代了传统的跨越式。编码：背越=背对着跳过去。	体育,田径,技术
游泳四种竞技泳姿的顺序？	蝶泳、仰泳、蛙泳、自由泳(混合泳顺序)。编码：蝶仰蛙自=叠阳娃子。蝶泳最累，自由泳最快。	体育,游泳,规则
体操的六个男子项目？	自由操、鞍马、吊环、跳马、双杠、单杠。编码：自鞍吊跳双单=自安掉跳双蛋。	体育,体操,项目
击剑的三个剑种区别？	花剑(躯干有效)、重剑(全身有效)、佩剑(上半身+劈刺)。编码：花重佩=花重配=花重配装备。	体育,击剑,规则
举重的两个比赛动作？	抓举(一次过头)和挺举(两步过头)。编码：抓=一把抓起来，挺=挺住再举。	体育,举重,规则
F1赛车中DRS是什么？	可调尾翼系统(Drag Reduction System)，直道上打开减少阻力超车。编码：DRS=Do Run Swiftly。	体育,F1,规则
马拉松的标准距离是多少？	42.195公里。编码：42=死鹅，195=要走我。口诀：死鹅要走我跑42公里。	体育,田径,数据
