Question	Answer	Tags
"胸有成竹"的含义是什么？	做事之前已经有了全面的考虑和把握。出自苏轼《文与可画筼筜谷偃竹记》。	成语,词汇,基础
"画龙点睛"的含义是什么？	说话或做事在关键处加上精辟的一笔，使整体更加出色。	成语,词汇,基础
"守株待兔"和"刻舟求剑"有什么区别？	守株待兔：不劳而获等好运（被动等待）；刻舟求剑：不知变通用老办法（思维僵化）。	成语,词汇,易混淆
"狐假虎威"的含义是什么？	比喻仰仗或倚仗别人的权势来欺压、恐吓人。	成语,词汇,基础
"指鹿为马"出自哪里？	《史记·秦始皇本纪》。比喻故意颠倒黑白，混淆是非。	成语,词汇,历史
"纸上谈兵"的含义是什么？	比喻空谈理论，不能解决实际问题。出处：赵括只会纸上谈兵，长平之战惨败。	成语,词汇,历史
"破釜沉舟"和"卧薪尝胆"分别代表什么策略？	破釜沉舟：不留退路，决一死战（项羽）；卧薪尝胆：忍辱负重，发愤图强（勾践）。	成语,词汇,对比
"完璧归赵"的含义是什么？	比喻把原物完好地归还本人。蔺相如护和氏璧归赵。	成语,词汇,历史
"杯弓蛇影"的含义是什么？	比喻因疑神疑鬼而引起恐惧。把弓的倒影误认为蛇。	成语,词汇,基础
"沉鱼落雁"形容什么？	形容女子容貌极美。沉鱼=西施，落雁=王昭君。	成语,词汇,文化
"讳疾忌医"的含义是什么？	比喻怕人批评而掩饰自己的缺点和错误。出自蔡桓公讳疾忌医的故事。	成语,词汇,历史
"醍醐灌顶"的含义是什么？	比喻听了高明的意见使人受到很大启发，突然彻底领悟。	成语,词汇,基础
"黔驴技穷"的含义是什么？	比喻有限的一点本领也用完了。出自柳宗元《三戒》。	成语,词汇,典故
"釜底抽薪"和"扬汤止沸"的区别？	釜底抽薪：从根本上解决问题；扬汤止沸：治标不治本。	成语,词汇,对比
成语"风声鹤唳，草木皆兵"出自哪场战役？	淝水之战。前秦苻坚败退时，听到风声鹤叫都以为是追兵。	成语,词汇,历史
记忆宫殿法中成语如何编码？	三步法：拆解（拆成单字）→画面（构造具体图像）→锚点（绑定挂钩画面）。	词汇,记忆方法,技巧
谐音法记忆成语的示例？	"对牛弹琴"→"对牛谈情"：对牛谈感情，白费口舌。	词汇,记忆方法,谐音
故事串联法如何用于成语记忆？	将多个成语编入一个连贯故事。如：画家胸有成竹→画龙点睛→守株待兔…	词汇,记忆方法,技巧
"按图索骥"的含义是什么？	比喻按照线索寻找事物，也比喻拘泥于成法，不知变通。	成语,词汇,基础
"返璞归真"的含义是什么？	比喻回复到原来的自然状态，去掉外在装饰，回归本真。	成语,词汇,基础
故事串联法的优势是什么？	将多个抽象信息编入一个连贯故事，利用叙事逻辑增强记忆。故事比孤立信息更容易被大脑编码和提取。	词汇,记忆方法,技巧
