Question	Answer	Tags
写作比阅读记忆效果强多少？	5-10倍	写作 原理
康奈尔笔记法的三个区域？	笔记区（右侧70%）、线索区（左侧30%）、总结区（底部）	写作 康奈尔
费曼写作法的核心？	用简单的语言写出来，检验是否真正理解	写作 费曼
手写vs打字哪个记忆效果更好？	手写更好，激活运动皮层，编码更深	写作 手写
生成效应是什么？	自己写出的内容比被动阅读的内容记得更久	写作 生成效应
课堂笔记的正确方法？	用关键词和缩写，课后整理，不要逐字抄写	写作 课堂笔记
阅读笔记的最佳方法？	读完一章后用费曼写作法写总结	写作 阅读笔记
思维导图的核心原则？	中心主题→分支→关键词→图像	写作 思维导图
日记写作对记忆的作用？	写作过程是主动回忆，日记提供复习线索	写作 日记
间隔效应是什么？	分散学习比集中学习效果好30-50%	时间管理 间隔效应
番茄工作法的核心？	25分钟专注+5分钟休息，每4个长休15分钟	时间管理 番茄
每天记忆训练建议多长时间？	15-30分钟，关键是坚持	时间管理 时长
碎片时间可以用来做什么？	主动回忆、听播客、用Anki复习	时间管理 碎片
间隔复习第4次在什么时候？	第7天	时间管理 间隔
集中突击为什么效果差？	可能"感觉"记住了但很快遗忘，大脑没有巩固时间	时间管理 集中突击
晨间记忆的最佳做法？	醒来后不看手机，回忆昨天学了什么	时间管理 晨间
通勤时间怎么利用？	听播客/录音、主动回忆、用Anki复习	时间管理 通勤
午休前应该做什么？	回忆上午学了什么，标记需要复习的内容	时间管理 午休
睡前5分钟应该做什么？	回忆今天的收获，不看笔记，纯主动回忆	时间管理 睡前
