Question	Answer	Tags
睡眠巩固记忆的关键阶段是什么？	NREM深度睡眠（慢波睡眠）——海马体向新皮层转移记忆，REM睡眠巩固技能和情绪记忆	03-日常习惯
最佳睡眠温度是多少？	18-20°C——核心体温下降是入睡必要条件	03-日常习惯
成年人的最佳睡眠时长是多少？	7-8小时，7小时睡眠与最低死亡率和最佳认知功能相关	03-日常习惯
午睡的最佳时长是多少？	20-30分钟——包含浅睡眠阶段的纺锤波，有助于巩固上午学习的内容，不进入深度睡眠	03-日常习惯
BDNF是什么？	脑源性神经营养因子，被称为"大脑的肥料"，促进神经元存活、生长和突触可塑性	03-日常习惯
运动如何影响BDNF水平？	单次30分钟中等强度有氧运动后血清BDNF升高15-30%，规律运动12周后静息BDNF升高25-30%	03-日常习惯
运动对海马体体积的影响有多大？	12个月有氧运动后海马体体积增加约2%，相当于逆转1-2年的年龄相关萎缩	03-日常习惯
运动后多久学习效果最佳？	运动后20-40分钟内学习记忆编码效率最高，BDNF和去甲肾上腺素升高持续约1-2小时	03-日常习惯
每周推荐的运动量是多少？	每周150分钟中等强度有氧运动（快走/慢跑），或75分钟高强度有氧运动	03-日常习惯
MIND饮食对阿尔茨海默病风险的降低幅度？	严格遵循MIND饮食的人阿尔茨海默病风险降低53%（Morris等2015）	03-日常习惯
Omega-3脂肪酸（DHA）对大脑的重要性？	DHA占大脑总脂肪酸约40%，是神经元细胞膜的核心组成成分，缺乏与海马体体积缩小相关	03-日常习惯
正念冥想8周后工作记忆容量提升多少？	约15%（Mrazek等2013），同时心智游移减少约20%	03-日常习惯
4-7-8呼吸法的具体步骤？	吸气4秒→屏息7秒→呼气8秒，重复4轮，激活副交感神经系统	03-日常习惯
慢性压力如何损害记忆？	长期高皮质醇导致海马体神经元树突萎缩约20-30%，神经发生降低约50%	03-日常习惯
晨间自然光暴露的作用是什么？	重置昼夜节律、调节皮质醇节律、改善夜间睡眠质量——起床后30分钟内接受10-15分钟	03-日常习惯
睡前学习为什么效果更好？	睡前编码的信息距离睡眠巩固窗口最近，记忆保留率比早晨学习组高出约21.8%	03-日常习惯
手机放在桌上对认知的影响？	即使手机关了屏幕放在桌上，也会降低工作记忆容量（效应量d=0.45）——"脑力流失"效应	03-日常习惯
连续14天每晚只睡6小时的认知影响？	认知表现下降幅度相当于连续24小时不睡觉，且当事人通常意识不到表现下降	03-日常习惯
社交互动对认知保护的作用？	社交活动最频繁的老年人认知衰退速度比社交最少者慢约70%，社交孤立使痴呆风险增加26%	03-日常习惯
蓝莓对记忆保护的科学证据？	每周食用蓝莓和草莓2次以上的老年人，认知衰退速度比很少食用者慢约2.5年	03-日常习惯
B族维生素（B6、叶酸、B12）对大脑的作用？	降低同型半胱氨酸水平——每日补充可将老年人脑萎缩速度减缓约30%（VITACOG试验）	03-日常习惯
轻度脱水对认知的影响？	体重下降1.36%的轻度脱水即可导致工作记忆和注意力显著下降（效应量d=0.5-0.7）	03-日常习惯
咖啡因增强记忆的最佳策略？	学习后摄入200mg咖啡因可增强24小时后记忆巩固约10-15%，最佳时间上午9:30-11:30	03-日常习惯
过量饮酒对海马体的影响？	每周饮酒超过14个标准杯，海马体萎缩风险增加约5.8倍	03-日常习惯
久坐不动对海马体的影响？	每天久坐>8小时且缺乏运动者海马体体积小约10%	03-日常习惯
睡前2小时应该做什么？	停止使用发光屏幕、将室温调至18-20°C、使用暖色台灯、避免大量进食和饮酒	03-日常习惯
粉红噪音对睡眠记忆的作用？	播放与慢波睡眠同步的粉红噪音可增强慢波睡眠幅度约25%，改善次日情景记忆约15%	03-日常习惯
表达性写作对考试焦虑的效果？	考试前花10分钟写下焦虑感受，可将焦虑对工作记忆的干扰降低约50%（Ramirez & Beilock 2011）	03-日常习惯
感恩日记的科学基础是什么？	每天写3件好事可以对抗负性记忆偏向——相当于有意识地进行"正性记忆提取练习"	03-日常习惯
晚间最优学习安排是什么？	睡前30分钟学习最重要的内容——入睡后记忆巩固会优先处理编码时间最接近的信息	03-日常习惯
