Question	Answer	Tags
什么是注意力经济？	注意力是数字时代的核心稀缺资源。赫伯特·西蒙1971年预言："信息丰富→注意力稀缺"。	演讲,文章,注意力
什么是"信息茧房"？	凯斯·桑斯坦提出的概念。算法推荐导致用户只看到自己感兴趣的信息，形成封闭的信息环境。	演讲,文章,心理学
"多巴胺循环"如何影响注意力？	可变奖赏机制（如社交媒体通知）触发多巴胺释放，形成上瘾循环。类似老虎机原理。	演讲,文章,神经科学
FOMO效应是什么？	Fear Of Missing Out，错失恐惧症。73%的年轻人经历过FOMO，导致频繁查看手机。	演讲,文章,心理学
全球化的"不可能三角"是谁提出的？	罗德里克提出：深度经济整合、国家主权、民主政治三者只能同时拥有两个。	演讲,文章,全球化
皮凯蒂的r>g是什么意思？	r=资本回报率，g=经济增长率。"钱生钱比人赚钱快"，导致贫富差距扩大。	演讲,文章,经济学
萨丕尔-沃尔夫假说是什么？	语言塑造思维（不仅仅是表达思维）。不同语言的空间、颜色、时间表达会影响认知方式。	演讲,文章,语言学
库克塔语如何影响空间认知？	澳大利亚原住民库克塔语只有绝对方位（东南西北），没有"左右"。导致他们空间判断方式不同。	演讲,文章,语言学
语言如何影响时间观念？	普通话用垂直隐喻（上个月/下周），英语用水平隐喻（look forward to）。实验验证排列方向不同。	演讲,文章,语言学
什么是"母语外语效应"？	用母语做道德判断更情绪化，用外语更理性/功利。电车问题中外语版本更倾向推人。	演讲,文章,心理学
文章记忆的层次编码法是什么？	三级编码：一级（论点层）→二级（论据层）→三级（数据/引用层）。每层用符号和画面锚定。	演讲,记忆方法,技巧
记忆宫殿如何与思维导图结合？	思维导图提供结构框架，记忆宫殿提供空间定位。将导图节点按顺序放入宫殿位置。	演讲,记忆方法,技巧
人名-年份-内容三联法是什么？	将人名、年份、核心内容编码为一个画面。如：西蒙+1971+注意力稀缺→"71年的预言家"。	演讲,记忆方法,技巧
数字锚定法如何记忆引用数据？	将抽象数字转化为具体画面。如：12秒→8秒=时钟指针跳动；$588B=钞票堆成的山。	演讲,记忆方法,技巧
如何用记忆宫殿记忆演讲结构？	选择熟悉建筑→将演讲各部分分配到不同房间→每部分用画面编码→走一遍路线回忆全文。	演讲,记忆方法,技巧
数据故事化技巧是什么？\将抽象数据转化为具体故事。如："每分钟400小时视频上传"→"你每眨眼一次，就有16天的新视频等你"。	演讲,记忆方法,技巧
