Question	Answer	Tags
记忆宫殿法的核心原理是什么？	将信息放置在熟悉空间的固定位置上，利用人类超强的空间记忆系统	02-核心记忆技巧
记忆宫殿的构建步骤是什么？	选宫殿→设定站点→放置联想→走动回忆	02-核心记忆技巧
记忆宫殿桩位选择的三个原则？	1有明显视觉特征 2间距均匀路线流畅 3按固定方向排序形成稳定提取路径	02-核心记忆技巧
记忆宫殿联想画面的五要素是什么？	夸张+动态+荒诞+情感+感官——越不正常越好记	02-核心记忆技巧
联想法的核心原则是什么？	将抽象信息转化为生动、夸张、荒诞、有情感的画面，越荒诞越好记	02-核心记忆技巧
为什么荒诞的画面比正常画面更容易记住？	荒诞画面打破了大脑的预期模式，激活杏仁核增强记忆编码，且不会与其他记忆混淆	02-核心记忆技巧
PAO系统是什么？	Person-Action-Object，每个两位数分配一个人物+动作+物体，每6位数字生成一个画面	02-核心记忆技巧
PAO系统如何记忆6位数字？	取前两位的P（人物）、中间两位的A（动作）、后两位的O（物体），组合成一个画面	02-核心记忆技巧
组块术的理论基础是什么？	米勒7±2法则——工作记忆容量约7±2个组块，通过打包信息突破容量限制	02-核心记忆技巧
间隔重复的核心原理是什么？	利用遗忘曲线，在即将遗忘时复习效率最高——先快后慢的遗忘需要递增间隔	02-核心记忆技巧
间隔重复的推荐间隔节奏是什么？	第1天→第3天→第7天→第14天→第30天→第90天	02-核心记忆技巧
FSRS算法比SM-2好在哪里？	用机器学习预测遗忘概率，减少30-50%复习量同时保持90%+留存率	02-核心记忆技巧
主动回忆比被动复习有效的根本原因？	提取过程本身强化了记忆神经通路——每次提取就像在丛林中走同一条路，越走越清晰	02-核心记忆技巧
费曼学习法的四个步骤？	1选概念 2用简单语言解释（假设听众是12岁孩子）3发现说不清的地方回头学 4简化和类比	02-核心记忆技巧
测试效应（Testing Effect）的记忆效果差异有多大？	主动回忆组比重复阅读组的记忆保持率高出40-50%（Roediger & Karpicke 2006）	02-核心记忆技巧
首字母缩略法的经典实例？	ROY G. BIV=彩虹七色（Red,Orange,Yellow,Green,Blue,Indigo,Violet），HOMES=北美五大湖	02-核心记忆技巧
关键词法最适合什么记忆任务？	外语词汇学习——利用外语发音与母语词的相似性建立联想，效果提升约70%	02-核心记忆技巧
思维导图的核心绘制规则？	中心图像→主干分支（不同颜色）→二级分支→每个分支只写关键词→添加小图标	02-核心记忆技巧
思维导图手绘为什么优于软件绘制？	手绘过程中的运动记忆、空间布局决策、颜色选择都是额外的编码通道	02-核心记忆技巧
图像化记忆的核心技巧是什么？	抽象信息必须转化为具体画面，画面要夸张、动态、多感官、有情感	02-核心记忆技巧
双重编码理论的核心观点？	同时以语言和视觉两种方式编码信息，记忆效果显著优于单一编码（Paivio 1971）	02-核心记忆技巧
最有效的三大记忆技巧组合是什么？	记忆宫殿+间隔重复+主动回忆——三者协同效应最大	02-核心记忆技巧
记忆竞赛中5分钟数字记忆的世界纪录级别？	约520个随机数字（申一帆2019年世界纪录）	02-核心记忆技巧
词根词缀法为什么是英语词汇记忆的终极武器？	掌握200个核心词根可推导出数千个单词含义，就像掌握了"数学公式"	02-核心记忆技巧
词根"vis/vid"的含义和示例单词？	含义=看，示例：visible, vision, evidence	02-核心记忆技巧
词根"spect"的含义和示例单词？	含义=看，示例：inspect, spectator, perspective	02-核心记忆技巧
词根"aud"的含义和示例单词？	含义=听，示例：audience, audible, auditorium	02-核心记忆技巧
词根"dict"的含义和示例单词？	含义=说，示例：predict, dictionary, dictate	02-核心记忆技巧
词根"bene"的含义和示例单词？	含义=好，示例：benefit, benevolent, benediction	02-核心记忆技巧
词根"mal"的含义和示例单词？	含义=坏，示例：malfunction, malicious, malaria	02-核心记忆技巧
古诗词记忆有哪些高效方法？	图像故事法（每句转画面串联）、情感锚定法（找情感主线）、结构分析法（分析对仗起承转合）	02-核心记忆技巧
