Question	Answer	Tags
BDNF是什么？	脑源性神经营养因子（Brain-Derived Neurotrophic Factor），被誉为"大脑的肥料"，促进神经元存活和突触可塑性	记忆与运动
FNDC5/鸢尾素-BDNF通路是什么？	运动→PGC-1α激活→FNDC5表达→鸢尾素释放→穿过血脑屏障→海马体BDNF基因表达上调，由Wrann等人2013年发现	记忆与运动
运动后海马体体积变化？	Erickson等2011年研究：12个月有氧运动后老年人海马体体积增加约2%，逆转1-2年年龄相关萎缩	记忆与运动
HIIT vs 稳态有氧的认知效率？	HIIT认知获益效率约2.5倍，总运动时间仅为中等强度持续运动的约40%	记忆与运动
学习后运动的最佳时间窗口？	学习后30-60分钟运动效果最佳，记忆保持率提升约23-26%	记忆与运动
力量训练改善记忆的主要机制？	IGF-1提升约20-30%、肌肉因子神经保护、降低慢性炎症、改善胰岛素敏感性和睡眠质量	记忆与运动
正念冥想对工作记忆的提升？	每天20分钟持续8周，工作记忆容量提升约15-20%，前额叶皮层灰质密度增加约3%	记忆与运动
认知获益的最佳有氧运动量？	每周150-200分钟中等强度有氧运动，最低有效量每周90分钟，超过300分钟后额外收益递减	记忆与运动
单次有氧运动30分钟后BDNF提升多少？	急性提升约20-30%，持续约60分钟；60分钟运动提升约30-50%，持续约90分钟	记忆与运动
规律运动12周后基础BDNF变化？	基础BDNF水平提升约20-30%（运动结束后24小时测量）	记忆与运动
BDNF每提升10%对情景记忆的影响？	情景记忆表现平均提升约5-8%	记忆与运动
有氧运动促进海马体神经发生的关键分子？	BDNF、VEGF（血管内皮生长因子）、IGF-1（胰岛素样生长因子1）、血清素	记忆与运动
HIIT的典型方案结构？	30秒-4分钟高强度运动（85-95%最大心率）+1-4分钟恢复，重复4-8组，总时长15-30分钟	记忆与运动
瑜伽降低皮质醇的幅度？	8周正念训练后皮质醇水平降低约15-25%，主观压力感知降低约30-40%	记忆与运动
"图书馆→操场"循环学习法的原理？	90分钟学习后运动正好落在最佳时间窗口，运动中的脑内回顾利用BDNF峰值+主动回忆双重巩固记忆	记忆与运动
