Question	Answer	Tags
Bjork的5大合意困难？	间隔（Spacing）、交错（Interleaving）、测试（Testing）、生成（Generation）、细化（Elaboration）	合意困难
间隔效应是什么？	分散学习比集中学习产生更持久的记忆效果，是认知心理学中最稳健的发现之一	合意困难
测试效应是什么？	主动回忆（测试自己）比被动重复阅读能产生更持久的记忆效果，效应量最大	合意困难
生成效应是什么？	自己主动生成信息比被动接收相同信息记忆更深刻，如填空题优于选择题	合意困难
交错效应是什么？	混合不同类型内容学习比分类集中学习效果更好，尤其提升辨别和迁移能力	合意困难
细化效应是什么？	学习时追问"为什么"和"怎么样"比只记"是什么"产生更深刻的记忆和理解	合意困难
流畅度陷阱是什么？	学习过程中的流畅感和轻松感往往是浅层加工信号，而非真正学习的标志	合意困难
Bjork区分的两种记忆强度？	存储强度（记忆的持久性，通过间隔和提取增强）和提取强度（当前能轻松提取的程度，通过集中练习提升）	合意困难
Roediger & Karpicke 2006实验的关键发现？	1周后测试：3次测试组回忆56%，3次阅读组仅42%——测试比重读效果好14个百分点	合意困难
间隔效应的最优间隔公式？	最优间隔≈目标保持天数×10%-30%，如想记1个月则间隔3-7天	合意困难
Rohrer & Taylor 2007数学实验的关键数据？	分块练习时正确率89%（感觉流畅），交错60%（感觉混乱），但一周后：分块20%，交错63%	合意困难
Slamecka & Graf 1978生成效应实验？	生成组回忆正确率约72%，阅读组约57%，生成组高15个百分点	合意困难
合意困难与不合意困难的区分标准？	合意困难触发深度加工促进长期记忆（如间隔、测试），不合意困难只增加负担不促进学习（如疲劳、噪音）	合意困难
Anki的间隔增长机制？	每次成功回忆后间隔乘以增长因子（Ease Factor，通常从2.5开始），回忆失败时重置或大幅缩短	合意困难
费曼技巧的核心是什么？	用最简单的语言向完全不懂的人解释概念，如果解释不清楚说明还没真正掌握，结合了生成和细化效应	合意困难
