Question	Answer	Tags
MIND饮食建议每周吃几次鱼？	至少每周1次（推荐每周2次）	记忆与营养,MIND饮食
哪种坚果对大脑最有益？	核桃（富含Omega-3脂肪酸）	记忆与营养,食物
高糖饮食为什么损害记忆？	增加炎症+降低BDNF+损害海马体功能	记忆与营养,危害
什么是MIND饮食？	地中海饮食和DASH饮食的结合，专门针对大脑健康设计	记忆与营养,概念
BDNF是什么？	脑源性神经营养因子，促进神经元生长和突触可塑性	记忆与营养,机制
蓝莓为什么被称为"大脑食物"？	富含花青素，有强抗氧化作用，改善海马体功能	记忆与营养,食物
咖啡因对记忆的影响？	适量(200-300mg)增强注意力和短期记忆，过量导致焦虑干扰编码	记忆与营养,影响
Omega-3脂肪酸的最佳来源？	深海鱼（三文鱼、沙丁鱼）、核桃、亚麻籽	记忆与营养,食物
为什么早餐对记忆很重要？	经过一夜禁食，大脑需要葡萄糖供能，跳过早餐影响注意力和编码	记忆与营养,实践
什么是"肠脑轴"？	肠道微生物通过迷走神经和神经递质影响大脑功能和记忆	记忆与营养,机制
巧克力对记忆有好处吗？	黑巧克力(70%+可可)含黄酮类化合物，可改善血流和认知	记忆与营养,食物
水对记忆有多重要？	脱水2%就会显著影响注意力和短期记忆，建议每天1.5-2L	记忆与营养,基础
维生素B12缺乏对记忆的影响？	导致认知下降和记忆力减退，老年人尤其需要注意补充	记忆与营养,缺乏
地中海饮食的核心特征？	大量蔬果+橄榄油+鱼类+适量红酒+少量红肉	记忆与营养,模式
学习前应该避免什么食物？	高糖、高脂、大量碳水化合物（导致血糖波动和困倦）	记忆与营养,实践
