Question	Answer	Tags
中国朝代顺序口诀是什么？	夏商周秦汉，三国两晋南北朝，隋唐宋元明清	04-history
秦始皇统一中国的年份？	公元前221年	04-history
鸦片战争爆发的年份？	1840年	04-history
《南京条约》签订的年份？	1842年	04-history
火烧圆明园发生在哪一年？	1860年（第二次鸦片战争期间）	04-history
甲午中日战争发生在哪一年？	1894年	04-history
《马关条约》签订的年份？	1895年	04-history
辛亥革命发生在哪一年？	1911年	04-history
中华民国成立的年份？	1912年	04-history
五四运动发生在哪一年？	1919年	04-history
中国共产党成立的年份？	1921年（中共一大）	04-history
南昌起义发生在哪一年？	1927年	04-history
卢沟桥事变（全面抗战爆发）的年份？	1937年	04-history
抗日战争胜利的年份？	1945年	04-history
中华人民共和国成立的年份？	1949年10月1日	04-history
改革开放开始的年份？	1978年	04-history
香港回归的年份？	1997年7月1日	04-history
澳门回归的年份？	1999年12月20日	04-history
赤壁之战发生在哪一年？	208年（东汉末年）	04-history
四大发明是什么？	造纸术（蔡伦，105年）、印刷术（毕昇，约1040年）、火药（唐代炼丹家）、指南针（北宋用于航海）	04-history
蔡伦改进造纸术的年份？	105年（东汉）	04-history
唐朝建立的年份？	618年（李渊开国）	04-history
世界最长的河流是哪条？	尼罗河（注入地中海，古埃及文明摇篮）	04-history
美国独立宣言发表的年份？	1776年	04-history
苏联解体的年份？	1991年	04-history
