Question	Answer	Tags
世界记忆锦标赛的十大项目是什么？	二进制数字、一小时数字、速度数字、马拉松扑克、速度扑克、一小时扑克、人名头像、历史日期、随机词汇、听记数字	34-记忆竞赛
PAO系统的三个组成部分是什么？	Person（人物）- Action（动作）- Object（物体），每个两位数编码为一个三元组	34-记忆竞赛
记忆竞赛入门阶段的目标是什么？	5分钟记忆50位数字，正确率>90%，3分钟记忆一副扑克牌	34-记忆竞赛
世界记忆锦标赛是哪一年由谁创立的？	1991年由Tony Buzan和Raymond Keene创立	34-记忆竞赛
记忆竞赛的速度数字项目时间限制是多少？	5分钟，世界纪录约500位	34-记忆竞赛
记忆宫殿的站点间距建议是多少？	5-8步，保持均匀，站点需清晰、顺序明确	34-记忆竞赛
PAO系统训练的反应速度目标是什么？	看到数字<1秒内反应出PAO编码	34-记忆竞赛
记忆竞赛进阶阶段（3-6个月）的目标是什么？	完善PAO系统100个编码，构建3-5个宫殿，5分钟记忆100位数字，3分钟记忆一副扑克牌	34-记忆竞赛
比赛中遇到卡壳应该怎么办？	不要停下来回忆，跳过继续，保持匀速，不急于求成	34-记忆竞赛
记忆竞赛的速度扑克项目世界纪录约多少秒？	约13秒记忆一副扑克牌	34-记忆竞赛
Maguire(2003)的研究发现了什么？	记忆冠军的大脑在先天结构上与普通人无差异，说明记忆竞赛的核心是系统训练而非天赋	34-记忆竞赛
记忆竞赛的马拉松扑克项目时间是多少？	60分钟，世界纪录约27副扑克牌	34-记忆竞赛
中国最著名的记忆竞赛选手有哪些？	王峰（2010、2011世界冠军）、申一帆（最年轻世界记忆大师，14岁）、刘苏（中国记忆锦标赛冠军）	34-记忆竞赛
记忆竞赛训练中"先准确再速度"原则是什么意思？	先掌握基础编码确保准确率，再逐步加快速度，循序渐进而非急于求成	34-记忆竞赛
记忆宫殿需要定期维护吗？	是的，3个月以上需清空重用，定期维护和翻新以保持站点清晰度	34-记忆竞赛
赛前准备需要哪些关键事项？	提前踩点熟悉环境、准备编码表和宫殿（打印备用）、调整作息保证充足睡眠、准备耳塞	34-记忆竞赛
入门阶段每周训练时长建议是多少？	1-4周每天30分钟，5-12周每天45分钟	34-记忆竞赛
人名头像项目的比赛时间和世界纪录？	15分钟，世界纪录约200个	34-记忆竞赛
听记数字项目的比赛时间和世界纪录？	100秒，世界纪录约300位	34-记忆竞赛
记忆竞赛训练中为什么每次要记录成绩？	追踪进步、发现瓶颈（编码卡壳/宫殿混乱/时间不够）、据此调整训练计划	34-记忆竞赛
