Question	Answer	Tags
吉萨大金字塔的年代和特征？	约公元前2560年，原高146.6米，230万块石灰岩，精确朝向正北。编码：金色的塔，阳光下闪耀。	艺术,建筑,古埃及
帕特农神庙的建筑特色？	46根多立克柱、黄金比例、微妙视觉矫正（柱身微凸）。编码：怕特农，特别浓的希腊味。	艺术,建筑,古希腊
罗马斗兽场的容量和结构？	可容纳5万观众，80个拱门入口，椭圆形，有地下通道与机械装置。	艺术,建筑,古罗马
圣索菲亚大教堂的穹顶特点？	直径31米，帆拱技术，"悬浮"在40个小窗户上。编码：圣洁的索住飞呀的大穹顶。	艺术,建筑,拜占庭
比萨斜塔倾斜多少度？	约3.97度。1173-1372年建造，白色大理石，8层圆柱拱廊，高约56米。	艺术,建筑,罗马式
巴黎圣母院的建筑风格？	哥特式：飞扶壁、玫瑰花窗、尖拱、石像鬼、双塔钟楼。2019年大火烧毁尖塔。	艺术,建筑,哥特
泰姬陵是谁为谁建造的？	莫卧儿帝国皇帝沙贾汗为亡妻建造（1632-1653）。"一滴永恒的泪珠"，白色大理石完美对称。	艺术,建筑,莫卧儿
紫禁城有多大？	72万平方米，约9999间房，中轴对称，红墙黄瓦。1406-1420年（明永乐年间）建造。	艺术,建筑,中国
悉尼歌剧院的设计灵感？	丹麦建筑师约恩·乌松设计，灵感来自剥橘子——"如果能把球面切成瓣"。白色壳形屋顶。	艺术,建筑,现代
建筑记忆编码的基本格式？	位置→年代→风格→特征→谐音编码→画面联想→记忆锚点。七段式编码。	艺术,记忆方法,编码
如何用谐音法记忆建筑名称？	如“帕特农”→“怕特农”（特别浓的希腊味）；“泰姬”→“太极”（阴阳对称）；“埃菲尔”→“爱飞尔”。	艺术,记忆方法,谐音
文艺复兴三杰是谁？	达芬奇(蒙娜丽莎)、米开朗基罗(大卫)、拉斐尔(雅典学院)。编码：达米拉=大米拉=大粒米拉面。	艺术,绘画,文艺复兴
印象派的代表画家和特点？	莫奈(日出·印象)、雷诺阿、德加。特点：捕捉光影变化，笔触可见。编码：印象=光的印象。	艺术,绘画,流派
立体主义的代表画家？	毕加索(亚维农少女)、布拉克。特点：多视角同时呈现，几何分解。编码：立体=把东西拆成立方体。	艺术,绘画,流派
超现实主义的代表画家？	达利(记忆的永恒)、马格利特(人子)。特点：梦境、潜意识、不合逻辑的组合。编码：超现实=超过现实的梦。	艺术,绘画,流派
米开朗基罗的大卫像特点？	高5.17米，白色大理石，表现大卫迎战歌利亚前的瞬间。文艺复兴雕塑巅峰。编码：大卫=大胆威武。	艺术,雕塑,文艺复兴
摄影构图的"三分法"是什么？	将画面用两条横线两条竖线分成9格，主体放在交叉点上。编码：九宫格=三三得九。	艺术,摄影,构图
摄影中"景深"是什么？	照片中清晰范围的大小。大光圈=浅景深(背景虚化)，小光圈=深景深(全部清晰)。编码：景深=景色的深度。	艺术,摄影,概念
浮世绘的代表画家和作品？	葛饰北斋(神奈川冲浪里)、歌川广重。日本江户时代版画。编码：浮世=浮在世间的画。	艺术,绘画,日本
什么是黄金分割比例？	约1:1.618。广泛用于艺术和建筑构图。编码：黄金=金子般完美的比例。达芬奇维特鲁威人。	艺术,构图,原理
波普艺术的代表画家？	安迪·沃霍尔(玛丽莲·梦露)、利希滕斯坦。特点：大众文化、鲜艳色彩、重复图案。编码：波普=流行的泡泡。	艺术,绘画,流派
