Question	Answer	Tags
原子序数1的化学元素是什么？	H 氢（qīng）｜编码：🎈氢气球｜氢气最轻，气球上浮	化学 元素 编码
原子序数2的化学元素是什么？	He 氦（hài）｜编码：🤪吸氦气变声的人｜氦气吸了声音变尖	化学 元素 编码
原子序数3的化学元素是什么？	Li 锂（lǐ）｜编码：🔋锂电池｜锂电池无处不在	化学 元素 编码
原子序数4的化学元素是什么？	Be 铍（pí）｜编码：🛡️轻质合金盾牌｜铍轻而硬用于航天合金	化学 元素 编码
原子序数5的化学元素是什么？	B 硼（péng）｜编码：🧪硼砂水晶｜硼砂做水晶泥	化学 元素 编码
原子序数6的化学元素是什么？	C 碳（tàn）｜编码：💎钻石｜钻石就是碳的结晶	化学 元素 编码
原子序数7的化学元素是什么？	N 氮（dàn）｜编码：🌫️无色雾气｜空气78%是氮气	化学 元素 编码
原子序数8的化学元素是什么？	O 氧（yǎng）｜编码：🫁肺/呼吸｜氧气=呼吸	化学 元素 编码
原子序数9的化学元素是什么？	F 氟（fú）｜编码：🦷牙膏｜含氟牙膏防蛀牙	化学 元素 编码
原子序数10的化学元素是什么？	Ne 氖（nǎi）｜编码：💡霓虹灯｜氖灯=霓虹灯（neon light）	化学 元素 编码
原子序数11的化学元素是什么？	Na 钠（nà）｜编码：🧂食盐｜氯化钠=食盐	化学 元素 编码
原子序数12的化学元素是什么？	Mg 镁（měi）｜编码：📸闪光灯｜镁条燃烧发出耀眼白光	化学 元素 编码
原子序数13的化学元素是什么？	Al 铝（lǚ）｜编码：🥤铝罐可乐｜铝罐装饮料	化学 元素 编码
原子序数14的化学元素是什么？	Si 硅（guī）｜编码：💻芯片｜硅谷=芯片，硅基材料	化学 元素 编码
原子序数15的化学元素是什么？	P 磷（lín）｜编码：🔥鬼火｜磷火=骨头里的磷	化学 元素 编码
原子序数16的化学元素是什么？	S 硫（liú）｜编码：🌋火山口｜火山口有硫磺黄绿色刺鼻	化学 元素 编码
原子序数17的化学元素是什么？	Cl 氯（lǜ）｜编码：🏊泳池｜泳池水加氯消毒	化学 元素 编码
原子序数18的化学元素是什么？	Ar 氩（yà）｜编码：💡氩气灯泡｜氩气填充灯泡保护灯丝	化学 元素 编码
原子序数19的化学元素是什么？	K 钾（jiǎ）｜编码：🍌香蕉｜香蕉富含钾元素	化学 元素 编码
原子序数20的化学元素是什么？	Ca 钙（gài）｜编码：🦴骨头｜补钙=骨头	化学 元素 编码
