Question	Answer	Tags
记忆核心公式是什么？	记忆效果 = 编码深度 × 存储巩固度 × 提取练习频率	综合速查
最有效的三大记忆技巧组合是什么？	记忆宫殿+间隔重复+主动回忆——三者协同效应最大	综合速查
每日记忆优化清单的核心习惯？	早晨运动后学习→每15分钟回忆→午睡20-30分钟→交错练习→睡前复习→7-8小时睡眠	综合速查
对抗遗忘曲线的最优策略？	间隔重复：当天→第1天→第3天→第7天→第14天→第30天	综合速查
十大核心记忆技巧中难度最低的是哪个？	联想法和组块法——1天即可入门	综合速查
十大核心记忆技巧中效果最强的是哪个？	记忆宫殿——容量大、顺序记忆强、持久性极强	综合速查
间隔重复的核心原理是什么？	利用遗忘曲线先快后慢的规律，在即将遗忘时复习效率最高	综合速查
主动回忆比被动重读有效的幅度？	主动回忆组比重复阅读组记忆保持率高出40-50%	综合速查
编码太抽象会导致什么问题？	记忆不持久、容易遗忘、提取困难——必须转化为具体可想象的画面	综合速查
睡眠对记忆巩固的作用机制？	深度睡眠中海马体以40-50倍速重播白天经历，将记忆转移到大脑皮层长期存储	综合速查
运动对记忆的三重加持？	释放BDNF（大脑肥料）+释放鸢尾素穿过血脑屏障+增加脑血流量	综合速查
记忆宫殿最适合什么类型的信息？	大量有序信息——演讲要点、历史年代、考试知识点、扑克牌顺序	综合速查
数字编码PAO系统的核心原理？	每个两位数分配固定的人物+动作+物体，每6位数字生成一个生动画面	综合速查
费曼学习法的核心检验标准？	如果你不能用简单语言向12岁孩子解释清楚，说明你还没有真正理解	综合速查
考试中最有效的提取策略？	先通览全卷（预激活）→先做会的→利用启动效应→重建记忆情境→从已知推向未知	综合速查
考研备考的核心原则？	间隔重复+主动回忆+错题本——宁可少学1小时也不要少睡1小时	综合速查
词根词缀法为什么高效？	掌握200个核心词根可推导出数千单词含义，一个词根=一个"公式"	综合速查
思维导图的核心绘制规则？	中心图像→主干（不同颜色）→子分支→每条只写关键词→添加图像	综合速查
助记术中最适合外语词汇的是什么？	关键词法——利用外语发音与母语词相似性建立联想，效果提升约70%	综合速查
多感官编码为什么比单一通道更有效？	同时以视觉+听觉+动觉+语义编码，记忆效果比单一编码高约50%（双重编码理论）	综合速查
记忆训练中最常见的错误是什么？	只重读不回忆——反复阅读笔记3遍不如看1遍+测试自己3遍	综合速查
间隔重复工具首选推荐？	Anki（开启FSRS算法）——免费开源、算法成熟、插件丰富、多平台同步	综合速查
创建Anki卡片的核心原则？	最小信息原则：一张卡片只测一个知识点，正面问题明确无歧义，背面简洁准确	综合速查
记忆宫殿构建的关键步骤？	选极其熟悉的空间→设定10个固定站点→放置荒诞联想画面→闭眼遍历练习	综合速查
学习后最佳的巩固活动是什么？	静息休息5-10分钟——可提高后续回忆成绩15-25%，远优于刷手机	综合速查
每日最佳学习时间安排？	上午9-12点（新知识编码）→运动后30-90分钟（BDNF窗口）→睡前30分钟（睡眠巩固预加载）	综合速查
合意困难的核心判断标准？	困难是否触发深度加工而非仅仅是挫败感——"卡壳感"是学习正在发生的标志	综合速查
LLM辅助记忆的核心注意事项？	LLM是辅助工具不是记忆替代品——生成内容必须经人工审核和主动回忆练习才能真正记住	综合速查
记忆术的终极目标是什么？	不是成为记忆机器，而是让知识真正成为你的一部分——记忆不是天赋而是技能	综合速查
学科专项目录覆盖了多少个学科？	23个——从数字、扑克牌、历史、地理到医学、法律、编程、金融、心理学等	综合速查
