Question	Answer	Tags
人体最大的内脏器官是什么？	肝脏，重约1.5kg，位于右上腹。编码：🏭化工厂（代谢、解毒）。	生物,解剖,器官
心脏的编码图像是什么？	❤️红色拳头在不停地捏放捏放。位于胸腔中纵隔，约300g。	生物,解剖,器官
左肺和右肺有什么区别？	左肺2叶（较小，因心脏占位），右肺3叶。编码：🎈气球，右边多一个。	生物,解剖,器官
小肠有多长？主要功能是什么？	约6米长。编码：🐍一条6米长蛇盘在肚子里。功能：营养吸收。	生物,解剖,器官
肾脏的形状和功能？	蚕豆形，位于腰椎两侧，各约150g。功能：过滤血液、产尿。编码：🫘两颗大蚕豆。	生物,解剖,器官
九大人体系统口诀是什么？	"运消呼泌生，神内免运骨"——运动、消化、呼吸、泌尿、生殖、神经、内分泌、免疫、循环+骨骼。	生物,解剖,系统
消化系统的器官顺序？	口腔(粉碎机)→食管(滑梯)→胃(搅拌机)→小肠(吸收墙)→大肠(脱水机)→直肠(出口)。	生物,解剖,消化
解剖学中"前"和"后"的术语？	前=Anterior/Ventral（安踢你，前面踢你）；后=Posterior/Dorsal（怕死踢你，后面怕被踢）。	生物,解剖,术语
矢状面、冠状面、水平面分别如何分割人体？	矢状面：左右分（杀鸡头）；冠状面：前后分（可肉脑）；水平面：上下分（穿丝袜）。	生物,解剖,平面
甲状腺的形状和功能？	蝴蝶形，位于颈前部。功能：调节代谢。编码：🦋蝴蝶停在喉咙前扇翅膀控制体温。	生物,解剖,内分泌
脾脏的位置和功能？	左上腹，椭圆形。功能：过滤血液、免疫。编码：🫘一颗大蚕豆在左边过滤血液。	生物,解剖,器官
骨骼有多少块？主要功能？	206块。功能：支撑、保护、造血。编码：🦴一副骨架撑起整个人形。	生物,解剖,骨骼
肝脏在身体定位宫殿中位于哪个站点？	站点7（上腹）：与胃(J形烧瓶)、胆囊(小梨)一起。编码：🏭化工厂。	生物,解剖,宫殿
消化系统记忆时如何走宫殿？	嘴巴站(牙齿嚼碎)→食管(弹性袜子滑下)→上腹站(J形烧瓶冒泡)→中腹站(长蛇吸营养)→画框收水分→气球存废物。	生物,解剖,记忆
人体数字锚定法有哪些关键数字？	1最大内脏(肝)、2个肾、3叶右肺、4个心腔、5升血、6米小肠、7颈椎、12对肋骨、206块骨、600+块肌肉。	生物,解剖,数字
脑干的功能和编码？	生命中枢，控制呼吸、心跳等基本生命活动。编码：🌳树干插在脑袋底部维持生命。位于大脑下方。	生物,解剖,器官
