Question	Answer	Tags
双印迹模型是什么？	清华钟毅团队2026年发现：Fos印迹细胞负责记忆提取，NRAM印迹细胞主动介导遗忘，遗忘是主动机制不是被动衰退	魔法记忆前沿
星形胶质细胞Ank2的作用？	韩国IBS团队2026年发现：Ank2蛋白调控海马星形胶质细胞形态可塑性，影响突触微环境和记忆持久性	魔法记忆前沿
2天重复学习的效果？	陆军军医大学2026年发现：2天即可逆转海马-皮层信息流方向，从"海马主导"变为"皮层优先"	魔法记忆前沿
CCK中间神经元的功能？	东南大学2026年发现：CCK中间神经元是社交记忆的"交通指挥官"，通过解除抑制机制门控社交记忆形成	魔法记忆前沿
分布式工作记忆的机制？	2026年Nature Neuroscience发现：跨脑区高频涟漪（80-120Hz）同步支持分布式工作记忆	魔法记忆前沿
记忆宫殿的神经密码是什么？	mPFC通过联合表征（conjunctive representation）将"项目"和"情境"绑定在一起，由2026年Nature Communications研究揭示	魔法记忆前沿
睡眠四层嵌套巩固机制？	cAMP超低频振荡（~60秒）→delta波→纺锤波→涟漪的四层嵌套，由康奈尔和中科院2025年发现	魔法记忆前沿
NRAM印迹细胞的调控因素？	受多巴胺系统调控：与奖惩关联的记忆，多巴胺信号会抑制NRAM细胞的"删除"功能保护记忆	魔法记忆前沿
FSRS v4.5的改进？	优化了短期记忆建模，解决了"学完立刻忘"的问题，能根据实际数据自动校准个人遗忘速率	魔法记忆前沿
个性化tDCS效果提升多少？	根据个人脑结构MRI定位的个性化刺激方案，效果比标准方案提高约40%	魔法记忆前沿
tDCS的核心特性是什么？	剂量依赖性——存在最优刺激参数，过强或过弱效果都下降	魔法记忆前沿
2025年美国神经伦理学会首要讨论？	公平准入——富人"买"记忆、穷人"背"记忆的公平性问题	魔法记忆前沿
FSRS算法基于几个核心参数？	3个：难度（Difficulty）、稳定性（Stability）、可提取性（Retrievability）	魔法记忆前沿
Fos印迹细胞在睡眠中的作用？	在睡眠中被优先重放，负责将短期记忆转化为长期记忆，同时NRAM细胞清除不需要的记忆	魔法记忆前沿
间隔重复+双印迹模型的联动原理？	每次复习激活Fos印迹强化提取路径，同时抑制NRAM印迹降低被主动遗忘概率；间隔过长可能已被NRAM删除，间隔过短Fos巩固不足	魔法记忆前沿
