Question	Answer	Tags
词根 port 的含义是什么？	搬运、携带｜谐音：跑特→跑着搬运｜衍生词：transport（运输）、export（出口）、import（进口）、portable（便携的）、report（报告）	英语 词根 编码
词根 duct/duc 的含义是什么？	引导、带领｜谐音：打个头→打头引导｜衍生词：conduct（引导）、produce（生产）、reduce（减少）、educate（教育）、introduce（介绍）	英语 词根 编码
词根 vert/vers 的含义是什么？	转、转向｜谐音：我特→我特爱转来转去｜衍生词：convert（转变）、reverse（反转）、diverse（多样的）、universe（宇宙）、introvert（内向）	英语 词根 编码
词根 ject 的含义是什么？	投、掷｜谐音：摘克特→摘下来扔出去｜衍生词：project（项目/投射）、reject（拒绝）、inject（注射）、subject（主题）、object（物体/反对）	英语 词根 编码
词根 spect/spec 的含义是什么？	看｜谐音：斯拜克特→特别爱看｜衍生词：inspect（检查）、respect（尊重）、suspect（怀疑）、expect（期待）、spectacle（景象）	英语 词根 编码
词根 dict 的含义是什么？	说、讲｜谐音：迪克特→爱说话｜衍生词：dictate（口述）、predict（预测）、contradict（反驳）、dictionary（词典）、verdict（判决）	英语 词根 编码
词根 scrib/script 的含义是什么？	写｜谐音：四哥来不→来了也不写作业｜衍生词：describe（描述）、prescribe（开处方）、subscribe（订阅）、manuscript（手稿）、scripture（经文）	英语 词根 编码
词根 tract 的含义是什么？	拉、拖｜谐音：踹个它→踹着拖走｜衍生词：attract（吸引）、extract（提取）、contract（合同/收缩）、distract（分散注意力）、subtract（减去）	英语 词根 编码
词根 ced/cess 的含义是什么？	走、行进｜谐音：赛德→赛德带头走｜衍生词：proceed（继续）、succeed（成功）、exceed（超过）、access（进入/通道）、recede（后退）	英语 词根 编码
词根 mit/miss 的含义是什么？	送、发｜谐音：秘特→秘密发送特快｜衍生词：submit（提交）、permit（允许）、commit（承诺）、mission（使命）、transmit（传输）	英语 词根 编码
词根 pos/pon 的含义是什么？	放置｜谐音：破四→破了四个放地上｜衍生词：compose（组成/作曲）、expose（暴露）、oppose（反对）、propose（提议）、deposit（存放）	英语 词根 编码
词根 fac/fact/fect 的含义是什么？	做、制造｜谐音：烦个特→做烦了特别累｜衍生词：factory（工厂）、affect（影响）、effect（效果）、perfect（完美的）、defect（缺陷）	英语 词根 编码
词根 sta/sist 的含义是什么？	站立、稳定｜谐音：死打→死死站住打不倒｜衍生词：stable（稳定的）、resist（抵抗）、insist（坚持）、consist（由…组成）、persist（坚持）	英语 词根 编码
词根 graph/gram 的含义是什么？	写、画｜谐音：哥来画→哥来画画｜衍生词：photograph（照片）、biography（传记）、geography（地理）、grammar（语法）、telegram（电报）	英语 词根 编码
词根 log/logy 的含义是什么？	说话、学科｜谐音：老哥→老哥爱讲道理｜衍生词：biology（生物学）、psychology（心理学）、dialogue（对话）、logic（逻辑）、monologue（独白）	英语 词根 编码
词根 phon 的含义是什么？	声音｜谐音：风→风的声音｜衍生词：telephone（电话）、symphony（交响乐）、microphone（麦克风）、phonetic（语音的）、euphony（悦耳之声）	英语 词根 编码
词根 vis/vid 的含义是什么？	看｜谐音：卫视→看卫视｜衍生词：visible（可见的）、vision（视力）、provide（提供）、evidence（证据）、revise（修改）	英语 词根 编码
词根 aud 的含义是什么？	听｜谐音：嗷的→嗷嗷叫让你听｜衍生词：audio（音频）、audience（观众）、audit（审计）、auditorium（礼堂）、audible（听得见的）	英语 词根 编码
词根 rupt 的含义是什么？	破、断裂｜谐音：若破特→若是破了特严重｜衍生词：interrupt（打断）、corrupt（腐败）、erupt（爆发）、abrupt（突然的）、bankrupt（破产）	英语 词根 编码
词根 pel/puls 的含义是什么？	推、驱动｜谐音：派哦→派人去推动｜衍生词：compel（强迫）、expel（驱逐）、propel（推进）、repel（击退）、impulse（冲动）	英语 词根 编码
