Question	Answer	Tags
FSRS算法的核心参数是什么？	稳定性(Stability, S)和难度(Difficulty, D)	AI辅助记忆,FSRS
FSRS算法比SM-2好多少？	减少30-50%的复习量	AI辅助记忆,FSRS
AI辅助闪卡生成的推荐工具？	ChatGPT或通义千问生成内容，导入Anki	AI辅助记忆,工具
Anki的间隔重复算法经历了几代？	3代：SM-2 → SM-17 → FSRS	AI辅助记忆,算法
FSRS中"稳定性"是什么意思？	记忆保持率达到90%所需的天数	AI辅助记忆,FSRS
FSRS中"难度"指什么？	卡片本身的学习难度，初始值由首次回答决定	AI辅助记忆,FSRS
AI生成闪卡的最佳实践？	先人工审核再导入，避免错误内容固化	AI辅助记忆,实践
Anki的"学习步长"是什么？	新卡片首次学习的间隔时间（如1m 10m）	AI辅助记忆,Anki
如何用AI批量生成Anki卡片？	用prompt模板+Markdown格式+批量导出TSV	AI辅助记忆,工作流
AI辅助记忆的核心优势？	降低制卡成本，把时间花在复习而非制作上	AI辅助记忆,效率
Anki中"成熟卡片"的定义？	间隔超过21天的卡片	AI辅助记忆,Anki
FSRS的"可请求性"(Retrievability)是什么？	当前回忆成功的概率，基于S和时间间隔计算	AI辅助记忆,FSRS
如何评估AI生成卡片的质量？	检查：原子性、明确性、无歧义、必要性	AI辅助记忆,质量
Anki的"暂停"功能有什么用？	暂停特定卡片不参与复习，用于临时搁置	AI辅助记忆,Anki
AI可以辅助Anki的哪些环节？	制卡、优化问题表述、生成助记提示、分析复习数据	AI辅助记忆,应用
什么是"最小信息原则"？	每张卡片只包含一个知识点，降低认知负荷	AI辅助记忆,原则
Anki支持哪些媒体类型？	文字、图片、音频、视频、LaTeX公式	AI辅助记忆,Anki
如何用AI优化已有卡片？	让AI检查表述清晰度、补充上下文、添加助记法	AI辅助记忆,优化
FSRS的"难度"范围是多少？	0到1，数值越大越难	AI辅助记忆,FSRS
间隔重复的遗忘曲线基础来自谁？	赫尔曼·艾宾浩斯(Hermann Ebbinghaus)	AI辅助记忆,历史
