Question	Answer	Tags
皮质醇对记忆的影响模式？	适度有益，过度有害——倒U型曲线	记忆与情绪,机制
考试焦虑最有效的应对策略？	重新评估：把"我很焦虑"重新解读为"我很兴奋"	记忆与情绪,策略
4-7-8呼吸法的具体步骤？	吸气4秒→屏息7秒→呼气8秒	记忆与情绪,技巧
什么是"情绪标签化"？	给情绪命名（如"我现在感到焦虑"），降低杏仁核激活	记忆与情绪,技巧
为什么适度压力反而增强记忆？	适度皮质醇激活杏仁核，增强海马体编码的"重要性标记"	记忆与情绪,机制
考试前紧张时最快见效的方法？	4-7-8呼吸法，3个循环即可显著降低心率	记忆与情绪,急救
什么是"重新评估"（Reappraisal）？	改变对事件的解读方式，从而改变情绪反应	记忆与情绪,概念
为什么焦虑会损害记忆？	过度皮质醇损伤海马体神经元，占用工作记忆资源	记忆与情绪,机制
情绪与记忆编码的关系？	情绪强烈的事件更容易被记住（闪光灯记忆效应）	记忆与情绪,原理
什么是"情绪调节的ABC模型"？	A事件→B信念→C情绪；改变B就能改变C	记忆与情绪,模型
如何利用正面情绪增强学习？	学习前看搞笑视频/听喜欢的音乐，提升多巴胺水平	记忆与情绪,策略
"方块呼吸法"怎么做？	吸4秒→屏4秒→呼4秒→屏4秒，循环4次	记忆与情绪,技巧
睡前焦虑影响记忆怎么办？	写下担忧清单+渐进式肌肉放松+4-7-8呼吸法	记忆与情绪,应对
长期压力对记忆的影响？	持续高皮质醇导致海马体萎缩，长期记忆受损	记忆与情绪,危害
什么是"渐进式肌肉放松"？	从脚到头依次紧绷5秒→放松10秒，逐个肌肉群进行	记忆与情绪,技巧
