Question	Answer	Tags
2025年《Nature》睡眠研究发现了什么？	睡眠记忆巩固的四级时间架构——慢振荡→睡眠纺锤波→尖波涟漪→单神经元序列重放	24-最新研究
睡眠微结构的四个振荡层级是什么？	慢振荡SO(0.5-1Hz)→睡眠纺锤波(12-15Hz)→尖波涟漪SWR(150-250Hz)→单神经元序列(毫秒级)	24-最新研究
只有哪些细胞在睡眠中被优先重放？	白天经历中被激活的"记忆印记细胞"（engram cells），重放顺序与原始经历时间顺序一致	24-最新研究
cAMP超低频振荡的周期是多少？	约60秒——cAMP高值期25-30秒（突触可塑性窗口），低值期30-35秒（突触稳定期）	24-最新研究
cAMP振荡在记忆巩固中的作用是什么？	形成记忆巩固的"时间窗口"——只有在振荡特定相位发生的记忆重放才能有效转移到大脑皮层	24-最新研究
学习后静息休息对记忆的影响有多大？	学习后5-10分钟静息休息可提高后续回忆成绩15-25%——比刷手机强太多了	24-最新研究
FSRS算法的核心创新是什么？	用Logistic回归模型预测遗忘概率，通过稳定性（Stability）和难度（Difficulty）参数个性化优化间隔	24-最新研究
FSRS比SM-2减少多少复习量？	日均复习量从234张降至147张（减少37%），长期留存率从86.7%提升至91.2%	24-最新研究
交错学习在长期保持中比分块学习好多少？	长期保持阶段交错学习优势显著（+25%准确率），特别是对相似度高的材料	24-最新研究
交错学习在初期学习阶段有效吗？	初期学习（前1-2次接触）分块学习效果更好（+12%），巩固阶段（第3-5次）交错学习更好（+18%）	24-最新研究
提取练习比重复阅读提高长期记忆保持率多少？	35-50%，且在延迟测试（1周后）中更为显著	24-最新研究
提取练习对知识迁移的促进效果？	在推理任务中提取练习组比重复阅读组高28%——不仅记事实还促进概念理解	24-最新研究
生成效应（Generation Effect）是什么？	自我生成的信息比被动接收的信息记忆更深刻——自己写总结比阅读摘要效果好25%	24-最新研究
生成效应中"深层生成"的记忆提升幅度？	创建类比和教学他人的记忆提升30-40%	24-最新研究
合意困难的五大原则是什么？	间隔（Spacing）+交错（Interleaving）+测试（Testing）+生成（Generation）+细化（Elaboration）	24-最新研究
tDCS（经颅直流电刺激）增强记忆的机制？	对左侧前额叶施加阳极刺激增加皮层兴奋性，增强海马体-前额叶功能连接25%	24-最新研究
经颅交流电刺激（tACS）增强记忆的原理？	施加θ波频率（4-8Hz）的tACS增强海马体-皮层θ波同步，记忆巩固效率提高20%	24-最新研究
AI依赖对记忆的负面影响有多大？	连续4周使用AI完成写作任务的学生自主写作能力下降18%，记忆测试低22%	24-最新研究
"谷歌效应"是什么？	当人们知道信息可以在线搜索时，对信息本身的记忆会变差（Sparrow等2011 Science）	24-最新研究
提取练习后提供即时反馈的效果？	即时反馈可提高学习效果15-20%，详细反馈（解释为什么）比简单反馈效果更好	24-最新研究
默认模式网络（DMN）在记忆中的作用？	静息休息时DMN与海马体功能连接增强，促进记忆整合——冥想可增强此连接	24-最新研究
学习后进行高认知负荷任务（如玩手机）的影响？	严重干扰静息巩固——社交媒体浏览使记忆降低15-20%，玩电子游戏降低20-30%	24-最新研究
DRL-SRS算法是什么？	深度强化学习优化间隔重复——将调度建模为马尔可夫决策过程，年均复习次数比FSRS更少	24-最新研究
工作记忆容量对提取练习效果的调节作用？	高WMC学生从提取练习中获益更大（+22%），低WMC学生需要更多提取练习次数	24-最新研究
AI辅助提取练习比传统提取练习高多少？	高12%，学习效率（每小时记忆知识点）高35%	24-最新研究
睡眠中记忆重放的速度比原始学习快多少？	快10-20倍——fMRI显示静息期间海马体出现与学习时相似的激活模式	24-最新研究
阿尔茨海默症患者tDCS+tACS联合刺激的短期记忆改善？	短期记忆测试成绩提高25%，效果在3个月后仍保留18%	24-最新研究
学习后活动对记忆巩固的影响排序？	静息休息（+20-25%）>冥想（+15-20%）>散步（+5-10%）>社交媒体（-15-20%）>电子游戏（-20-30%）	24-最新研究
咖啡因如何影响cAMP振荡？	咖啡因通过阻断腺苷受体间接影响cAMP振荡节律——下午2点后应避免摄入	24-最新研究
完整睡眠周期（约90分钟）为什么比单纯延长睡眠更重要？	睡眠质量>睡眠时长——碎片化睡眠会破坏微观组织结构，即使总时长达标也会损害记忆	24-最新研究
