Question	Answer	Tags
大三和弦的结构是什么？	根音+大三度(4半音)+纯五度(7半音)。如C和弦=C+E+G。	音乐,和弦,结构
C和弦的谐音编码和画面？	Sea-Eagle-Gold（海-鹰-金）。画面：海上金鹰展翅。情感：明亮、开阔。	音乐,和弦,编码
小三和弦与大三和弦的区别？	小三和弦：根音+小三度(3半音)+纯五度(7半音)。中间音降半音，情感从明亮变为忧伤。	音乐,和弦,对比
Am和弦的组成音和情感？	A+C+E。画面：天使骑鹰过海。情感：经典小调、忧伤。	音乐,和弦,编码
属七和弦的解决规律是什么？	属七总想解决到主音下方四度的和弦。如G7→C，D7→G，A7→D。	音乐,和弦,规律
最常用的和弦进行I-V-vi-IV用C调表示是什么？	C-G-Am-F。画面：海浪拍打，金色日出，天使降临，风吹帆动。代表曲：《Let It Be》。	音乐,和弦进行,流行
爵士标准进行ii-V-I用C调表示是什么？	Dm-G-C。画面：小鹿跃入金色大海。	音乐,和弦进行,爵士
和弦功能T-S-D-T分别代表什么？	T(主功能)=I,iii,vi="家"；S(下属)=IV,ii="离家"；D(属)=V,vii°="想回家"。	音乐,和弦,功能
和弦原位、第一转位、第二转位的区别？	原位=根在下(站着，稳定)；第一转位=三在下(倒立，柔和)；第二转位=五在下(侧翻，不稳定)。	音乐,和弦,转位
减三和弦(Diminished)的结构和情感？	根音+小三度+减五度(6半音)。情感：不安、悬疑、恐怖。	音乐,和弦,结构
属七和弦的编码公式？	属七=大三和弦+小七度。如C7=C+E+G+Bb。画面：金鹰海上拍扁蜂。属七总想解决到下方四度和弦。	音乐,和弦,结构
巴洛克音乐时期的代表作曲家和特点？	巴赫、亨德尔、维瓦尔第。特点：华丽装饰、复调织体、通奏低音。编码：巴洛克=巴掌大的洛克(华丽)。	音乐,古典音乐,时期
古典主义时期的代表作曲家？	海顿(交响乐之父)、莫扎特(神童)、贝多芬(连接古典与浪漫)。编码：海莫贝=海马背上驮贝壳。	音乐,古典音乐,时期
浪漫主义时期的代表作曲家？	肖邦(钢琴诗人)、柴可夫斯基(天鹅湖)、德彪西(印象派先驱)。编码：浪漫=肖柴德=小柴犬很浪漫。	音乐,古典音乐,时期
弦乐器组包含哪些乐器？	小提琴🎻、中提琴、大提琴、低音提琴。编码：弦乐四重奏=小中大低=削钟大敌。	音乐,乐器,分类
木管乐器组包含哪些乐器？	长笛、双簧管、单簧管(黑管)、大管(巴松)。编码：木管=长双单大=常双蛋大。	音乐,乐器,分类
铜管乐器组包含哪些乐器？	圆号、小号、长号(拉管)、大号。编码：铜管=圆小长大=圆桌小号长大。	音乐,乐器,分类
4/4拍的节奏特点是什么？	每小节4拍，强-弱-次强-弱。最常见的拍号，也叫C拍。编码：4步走路=重轻轻轻。	音乐,节奏,拍号
3/4拍的节奏特点是什么？	每小节3拍，强-弱-弱。华尔兹/圆舞曲的标准拍号。编码：3步转圈=嘭嚓嚓。	音乐,节奏,拍号
切分音(Syncopation)是什么？	重音落在弱拍或弱位上，制造节奏的"意外感"。编码：切分=切开正常节奏，打乱重音。爵士乐常用。	音乐,节奏,概念
五声音阶(Pentatonic)是什么？	由5个音组成的音阶，如C-D-E-G-A。中国民乐和蓝调常用。编码：五声=五个音，少了4和7。	音乐,音阶,概念
