Question	Answer	Tags
SQ3R法的5个步骤？	Survey(浏览)→Question(提问)→Read(阅读)→Recite(复述)→Review(复习)	速读与记忆,方法
速读的核心瓶颈是什么？	默读(subvocalization)，即内心发声限制了阅读速度	速读与记忆,瓶颈
速读后如何巩固记忆？	主动回忆+思维导图+用自己的话总结	速读与记忆,巩固
什么是"默读"？	阅读时在心里逐字念出声音，限制速度在200-300词/分	速读与记忆,概念
速读训练的第一步？	用手指或笔引导视线，减少回视(regression)	速读与记忆,技巧
什么是"语义单元"阅读？	一次注视获取一个有意义的词组，而非逐字阅读	速读与记忆,技巧
速读对理解深度的影响？	速读牺牲部分深度理解，适合筛选和概览而非精读	速读与记忆,权衡
如何减少"回视"？	用引导物覆盖已读文字，强迫视线向前移动	速读与记忆,技巧
什么是"RSVP"速读技术？	快速序列视觉呈现(Rapid Serial Visual Presentation)，文字逐个闪现	速读与记忆,技术
速读的合理目标速度？	中文600-1000字/分钟（普通阅读300-500字/分钟）	速读与记忆,标准
如何用"预览法"提升阅读效率？	先读标题、小标题、首尾段、图表，建立整体框架再细读	速读与记忆,技巧
思维导图如何辅助速读后的记忆？	将线性文字转化为网状结构，强化逻辑关系和视觉记忆	速读与记忆,工具
什么是"略读"与"扫读"的区别？	略读：快速抓主旨；扫读：快速找特定信息	速读与记忆,概念
如何判断该速读还是精读？	目的决定：筛选/概览→速读；学习/考证→精读	速读与记忆,策略
速读后24小时内应该做什么？	做一次主动回忆测试，提取关键概念，查漏补缺	速读与记忆,巩固
