Question	Answer	Tags
中国国土面积是多少？	约960万平方公里	06-geography
世界七大洲按面积排序是什么？	亚洲、非洲、北美洲、南美洲、南极洲、欧洲、大洋洲	06-geography
七大洲的口诀是什么？	亚非北南美，南极欧大洋	06-geography
长江的长度是多少？	约6300公里，世界第三长河	06-geography
黄河的长度是多少？	约5464公里，世界第五长河，呈"几"字形	06-geography
中国有多少个省级行政区？	34个（23省、5自治区、4直辖市、2特别行政区）	06-geography
中国地图的整体轮廓像什么？	一只昂首挺胸的雄鸡	06-geography
中国地图中，东北三省对应鸡的哪个部位？	鸡头（黑龙江、吉林、辽宁）	06-geography
世界流量最大的河流是哪条？	亚马逊河（南美洲，注入大西洋）	06-geography
世界最长的河流是哪条？	尼罗河（非洲，约6650公里）	06-geography
中国注入北冰洋的唯一河流是哪条？	额尔齐斯河（新疆）	06-geography
长江的源头在哪里？	唐古拉山脉，注入东海	06-geography
黄河的源头在哪里？	巴颜喀拉山脉，注入渤海	06-geography
中国九宫格分区中，华东区包括哪些省份？	沪苏浙皖闽（上海、江苏、浙江、安徽、福建）	06-geography
北京的形状联想是什么？	奖杯（天安门、故宫）	06-geography
上海的形状联想是什么？	鱼头（东方明珠、外滩）	06-geography
山东的形状联想是什么？	骆驼头（泰山、青岛啤酒、煎饼）	06-geography
欧洲最长的河流是哪条？	伏尔加河（俄罗斯，注入里海）	06-geography
多瑙河流经几个国家？	10个国家（德国、奥地利、匈牙利等），注入黑海	06-geography
中国外流河按注入海洋分为哪三类？	注入太平洋（长江黄河等）、注入印度洋（雅鲁藏布江等）、注入北冰洋（额尔齐斯河）	06-geography
