Question	Answer	Tags
记忆竞赛有哪些标准项目？	五项：数字速记(5min)、扑克速记(5min)、词汇记忆(15min)、历史日期(5min)、文章记忆(15min)。	组合,竞赛,项目
数字速记的入门标准是什么？	5分钟记忆40位随机数字。使用PAO编码系统，每2位一组，20个定位点。	组合,竞赛,数字
扑克速记的入门标准是什么？	5分钟记忆1副牌(52张)。使用配对编码，2张牌一组，26个定位点。	组合,竞赛,扑克
词汇记忆的入门标准是什么？	15分钟记忆30个随机词汇。每个词汇转化为鲜明意象，用定位法放置。	组合,竞赛,词汇
竞赛中心理调节的关键是什么？	赛前：深呼吸+走宫殿。赛中：专注当前，卡住就跳过。赛后：不改答案（第一直觉通常对）。	组合,竞赛,心理
数字速记的计时策略是什么？	0-30s浏览→30s-3:30编码放置→3:30-4:30复习→4:30-5:00检查。	组合,竞赛,计时
PAO编码系统是什么？	Person-Action-Object（人物-动作-物体）。每2位数字对应一个人物做一个动作作用于一个物体。	组合,编码系统,PAO
记忆竞赛的评分规则？	数字：正确1分，错误扣0.5分。扑克：每张正确1分，最大连续正确序列决定排名。	组合,竞赛,评分
如何训练数字速记从入门到竞赛级？	8周入门(40位)→8周进阶(100位)→14周竞赛(200+位)。每天30-60分钟训练。	组合,训练,计划
扑克速记中配对编码如何操作？	两张牌→一个PAO画面。如♠3+♥8→15+32→周瑜+项羽→周瑜点将，项羽举鼎。	组合,竞赛,扑克
词汇记忆中如何将抽象词转化为意象？	找具体替代物。如"愤怒"→红脸关公吼叫；"希望"→光照进黑暗房间。	组合,记忆方法,词汇
竞赛前的热身流程是什么？	1.深呼吸3次放松；2.脑中快速走一遍记忆宫殿；3.心理暗示"我已准备好"。	组合,竞赛,心理
什么是"记忆宫殿"？	将信息按顺序放置在想象中的熟悉空间（如家里）。回忆时按路线走一遍提取信息。	组合,记忆方法,宫殿
历史日期项目如何记忆？	虚构事件+日期编码。如"1815年火山爆发"→编码18(腰包)+15(鹦鹉)→腰包里鹦鹉喷火。	组合,竞赛,日期
竞赛训练中每日训练包含哪些环节？	闪卡练习(编码速度)+放置练习(宫殿定位)+完整模拟(计时实战)+复习优化。	组合,训练,计划
竞赛中遇到编码卡住怎么办？	跳过，不要浪费时间。保持节奏，不忽快忽慢。回忆时第一直觉通常是对的，不要修改答案。	组合,竞赛,心理
