Question	Answer	Tags
记忆的三个核心过程是什么？	编码（信息进入大脑）、存储（信息被巩固保存）、提取（信息被回忆出来）	01-记忆科学基础
大多数人"记不住"的问题出在哪个阶段？	编码阶段——根本没认真看/听，信息压根没进入大脑	01-记忆科学基础
工作记忆的容量大约是多少？	7±2个信息组块（Miller 1956），但Cowan(2001)修正为约4±1个纯容量	01-记忆科学基础
感觉记忆的持续时间有多长？	图像记忆约250-500毫秒，回声记忆约3-4秒，触觉记忆约2秒	01-记忆科学基础
短期记忆的持续时间是多少？	约15-30秒（无复述的情况下）	01-记忆科学基础
长期记忆的容量和持续时间？	容量理论上无限，持续时间可以是一生	01-记忆科学基础
加工层次理论的核心发现是什么？	编码深度决定记忆持久度：深层加工（理解意义）记忆效果是浅层加工（注意字形）的3-4倍	01-记忆科学基础
自我参照效应是什么？	当信息与自身相关时，编码效果比一般判断高30-40%（Rogers等1977）	01-记忆科学基础
海马体的核心功能是什么？	新记忆的"临时中转站"，负责将短期记忆转化为长期记忆，也参与空间记忆	01-记忆科学基础
H.M.患者手术后的主要记忆障碍是什么？	无法形成新的陈述性长期记忆（顺行性遗忘），但短期记忆和程序性记忆基本正常	01-记忆科学基础
杏仁核在记忆中的作用是什么？	情绪标签机——给重要事件打上"高优先级"标签，增强海马体的记忆编码	01-记忆科学基础
前额叶皮层在记忆中的主要功能？	工作记忆的维持与操作、策略性编码与提取、源记忆、前瞻性记忆	01-记忆科学基础
前额叶皮层大约多少岁才完全发育？	约25岁（Giedd等1999）	01-记忆科学基础
伦敦出租车司机研究发现了什么？	频繁使用空间导航导致海马体后部体积显著增大，且与驾驶年限正相关	01-记忆科学基础
长时程增强（LTP）是什么？	高频刺激后突触传递效率的持久性增强，是记忆的细胞基础（Bliss & Lømo 1973）	01-记忆科学基础
Hebb法则的核心内容？	"一起放电的神经元连接在一起"（Neurons that fire together, wire together）	01-记忆科学基础
艾宾浩斯遗忘曲线的关键数据？	学后20分钟忘42%，1小时忘56%，1天忘66%，1个月忘79%	01-记忆科学基础
遗忘曲线的形状特征？	先快后慢，呈指数衰减	01-记忆科学基础
间隔效应是什么？	分散在不同时间点的复习比集中复习效果好得多，效应量d=0.42-0.85	01-记忆科学基础
前摄抑制和后摄抑制的区别？	前摄抑制=旧信息干扰新记忆（如旧手机号干扰新号），后摄抑制=新信息干扰旧记忆（如新地址干扰旧地址）	01-记忆科学基础
编码特异性原则的核心内容？	提取时的背景与编码时匹配时记忆效果最好——在哪儿学的在哪儿更容易想起来	01-记忆科学基础
潜水员水下实验证明了什么？	编码特异性：水下学习的单词在水下测试时回忆成绩比岸上测试高约30%（Godden & Baddeley 1975）	01-记忆科学基础
提取练习效应（测试效应）是什么？	主动回忆（测试自己）比重复阅读的记忆保持率高50%以上（Karpicke & Roediger 2008）	01-记忆科学基础
闪光灯记忆的特点？	重大情绪事件的记忆感觉非常清晰和准确，但客观准确度与日常记忆一样会衰退（Talarico & Rubin 2003）	01-记忆科学基础
耶克斯-多德森定律的核心内容？	唤醒水平与任务表现呈倒U型关系：适度压力最佳，过高或过低都不利	01-记忆科学基础
慢性压力对海马体的影响？	长期高皮质醇可导致海马体萎缩约10-15%，损害记忆功能（Sapolsky 2000）	01-记忆科学基础
睡眠对记忆巩固的作用有多大？	睡眠后记忆保留率比等时间清醒高出20-40%，深度睡眠中海马体以40-50倍速重播白天经历	01-记忆科学基础
完全睡眠剥夺使海马体编码能力下降多少？	约40%（Yoo等2007，fMRI研究）	01-记忆科学基础
"只使用了大脑的10%"这个说法对吗？	不对，这是广泛流传的神话，脑成像研究显示大脑几乎所有区域都有功能	01-记忆科学基础
照相式记忆在成年人中是否存在？	没有被科学证实，记忆冠军使用的是特殊策略（如记忆宫殿）而非天生"照相"能力	01-记忆科学基础
学习风格理论（如VARK）有科学支持吗？	几乎没有。所有人学习时都受益于多感官输入，而非单一"风格"	01-记忆科学基础
记忆是录像机式的精确记录吗？	不是，记忆是建构性的。Loftus实验证明32%的人"记得"从未见过的碎玻璃	01-记忆科学基础
工作记忆容量与哪些认知能力高度相关？	阅读理解（r=0.50-0.60）、推理能力（r=0.80以上）、注意力控制	01-记忆科学基础
组块（Chunking）策略的本质是什么？	将多个独立信息打包成有意义的整体，突破7±2的工作记忆容量限制	01-记忆科学基础
国际象棋大师的记忆优势来自哪里？	知识结构（约50,000-100,000个棋局组块），而非天生记忆容量——随机棋局记忆与新手无异	01-记忆科学基础
陈述性记忆和非陈述性记忆的区别？	陈述性=可用语言表述（事实+事件），非陈述性=无法用语言表述（技能+条件反射）	01-记忆科学基础
情景记忆和语义记忆的区别？	情景记忆=个人经历（含时间地点），语义记忆=事实概念（不含个人背景）	01-记忆科学基础
程序性记忆的特点是什么？	关于技能和动作的记忆，一旦形成非常持久——你可能十年不骑车但上去还是会骑	01-记忆科学基础
前瞻性记忆在日常遗忘中占多大比例？	约50-80%——忘记要做的事远多于忘记过去的事（McDaniel & Einstein 2007）	01-记忆科学基础
"左右脑人"的说法有科学依据吗？	没有，fMRI研究显示没有任何证据表明个体有明显的"优势半球"偏好	01-记忆科学基础
睡眠纺锤波与记忆的关系？	睡眠纺锤波密度与次日记忆测试成绩呈正相关（r=0.40-0.60），是记忆巩固的关键机制	01-记忆科学基础
突触巩固和系统巩固的时间尺度？	突触巩固=几分钟到几小时，系统巩固=几天到几年（记忆从海马体转移到大脑皮层）	01-记忆科学基础
运动对海马体体积的影响？	每周3次、每次40分钟有氧运动持续1年后，老年人海马体体积增加约2%（Erickson等2011）	01-记忆科学基础
光遗传学在记忆研究中实现了什么？	首次在小鼠中创建了虚假记忆——通过激活特定记忆印迹细胞诱发恐惧反应（Ramirez等2013）	01-记忆科学基础
记忆再巩固窗口期有多长？	提取后约数小时（1-6小时），期间已巩固的记忆不稳定，可被修改或"擦除"	01-记忆科学基础
多任务处理对记忆编码的影响？	手机放在桌上（即使不使用）也会降低认知表现约10-15%（"脑力流失"效应）	01-记忆科学基础
