Question	Answer	Tags
人脸记忆的基本编码步骤是什么？	面部特征提取→姓名编码→关联画面→放置位置→回忆触发。五步法。	人脸,记忆方法,编码
如何提取面部特征？	分类提取：脸型（圆/方/长/鹅蛋/菱形/倒三角）、发型、眼睛、鼻子、嘴型。每类编号。	人脸,特征,编码
相似面孔如何区分？	四种策略：特征差异放大法、位置分离法、标志性物件法、性格标签法。	人脸,记忆方法,技巧
"特征差异放大法"是什么？	当两张面孔相似时，聚焦差异点并夸张化。如：李明大眼=铜铃瞪你，张强丹凤眼=眯缝看你。	人脸,记忆方法,技巧
人脸记忆中如何使用记忆宫殿？	将人物放置到宫殿不同位置。相似面孔放不同宫殿或同一场景不同位置（位置分离法）。	人脸,记忆方法,宫殿
李明的编码画面是什么？	圆脸+短寸+大眼。编码：🍐梨+💡明灯。画面：家门口亮着明灯，灯下挂大梨，圆脸人敲门。	人脸,案例,编码
张伟的编码画面是什么？	方脸+短寸+丹凤眼+鹰钩鼻。编码：⛺帐篷+🏋️伟岸。画面：沙发上搭帐篷，壮汉探出头。	人脸,案例,编码
人脸记忆的间隔复习时间表？	5分钟→30分钟→当天晚上→第2天→第7天→第30天。共6次复习。	人脸,记忆方法,复习
如何主动回忆人脸编码？	四步法：先想宫殿位置→再想画面→再想特征→最后联想姓名。不要翻笔记。	人脸,记忆方法,技巧
"标志性物件法"如何操作？	给相似面孔各分配独特标志物。如：两个方脸短寸→一个戴红帽🧢，一个挂金项链📿。	人脸,记忆方法,技巧
陈建国的编码画面是什么？	方脸+光头+小眼+蒜头鼻。编码：💨尘土+🏗️建筑+🌍国。画面：光头蒜头鼻的人在餐桌上搭建筑模型。	人脸,案例,编码
王丽华的编码画面是什么？	鹅蛋脸+马尾+桃花眼+高鼻梁。编码：🕸️网+💃丽+✨华丽。画面：华丽渔网中马尾美女起舞。	人脸,案例,编码
面部特征的编码编号系统？	脸型F1-F6、发型H1-H8、眼睛E1-E6、鼻子N1-N4、嘴型M1-M4。组合如F1+H1+E1。	人脸,编码系统,编号
如何处理重复见面的复习？	利用间隔重复：见面后立即编码→5分钟回放→30分钟默写→当晚全回放→次日抽查。	人脸,记忆方法,复习
30个虚拟人物案例使用了什么宫殿结构？	10个场景×3轮。场景：家门口、玄关、客厅、电视、餐桌、厨房、卧室、书桌、阳台、浴室。	人脸,记忆方法,宫殿
"性格标签法"如何区分相似面孔？	给相似面孔赋予不同性格/动作。如：两个鹅蛋脸马尾→一个永远在笑（开朗），一个永远在哭（忧郁）。	人脸,记忆方法,技巧
