Question	Answer	Tags
GDP是什么？	国内生产总值，一国境内一定时期内生产的全部最终产品和服务的市场价值	18-finance
GNP和GDP的区别是什么？	GDP看"地盘"（境内），GNP看"国籍"（含海外）；GNP=国民生产总值	18-finance
CPI是什么？	消费者价格指数，衡量一组代表性消费品和服务价格变动的相对数，俗称"大妈指数"	18-finance
PPI是什么？	生产者价格指数，衡量工业企业产品出厂价格变动趋势，是CPI的"上游"指标	18-finance
通货膨胀是什么？	一般物价水平持续、普遍上涨的现象，太多的钱追逐太少的商品	18-finance
通货紧缩是什么？	一般物价水平持续下降的现象，消费者等待更低价格导致恶性循环	18-finance
利率是什么？	借贷资金的价格，即利息与本金的比率，是资金的"租金"	18-finance
汇率是什么？	一国货币兑换另一国货币的比率；汇率↑（人民币贬值）→出口便宜，进口贵	18-finance
基尼系数是什么？	衡量收入分配不平等程度的指标，0-1之间，0.4为警戒线	18-finance
恩格尔系数是什么？	食品支出占个人消费支出的比重，占比越大说明越"穷"	18-finance
市盈率（P/E）的公式是什么？	市盈率 = 股价 / 每股收益，反映投资者愿意为每元收益支付的价格	18-finance
什么是货币政策？	中央银行通过调节货币供应量和利率来影响经济的政策工具（如调整存款准备金率、公开市场操作）	18-finance
什么是财政政策？	政府通过调整税收和支出来影响经济的政策（扩张性/紧缩性财政政策）	18-finance
什么是复利？	利息再生利息，即"利滚利"；公式：FV = PV × (1+r)^n	18-finance
什么是股票？	股份公司发行的所有权凭证，持有者享有公司利润分配权和投票权	18-finance
什么是债券？	债务人发行的承诺按期支付利息并到期偿还本金的债务凭证	18-finance
什么是基金？	集合投资者资金，由专业基金经理管理，投资于股票、债券等资产的集合投资工具	18-finance
什么是衍生品？	价值依赖于基础资产（如股票、商品、利率）的金融合约，包括期货、期权等	18-finance
什么是流动性？	资产能够快速转换为现金而不明显损失价值的能力；现金流动性最高	18-finance
什么是系统性风险？	影响整个金融市场的风险，无法通过分散投资消除（如经济衰退、金融危机）	18-finance
