Question	Answer	Tags
宪法的地位是什么？	国家根本大法，具有最高法律效力，规定国家根本制度和根本任务	13-law
民法和刑法的主要区别是什么？	民法调整平等主体之间的人身关系和财产关系；刑法惩罚犯罪、保护社会秩序	13-law
国体是什么？	国家的阶级性质，即社会各阶级在国家中的地位（我国为人民民主专政）	13-law
政体是什么？	政权组织形式（我国为人民代表大会制度）	13-law
人民代表大会制度是什么？	我国根本政治制度，人民选举代表组成人大行使国家权力	13-law
公民的基本权利包括哪些？	平等权、政治权利和自由、宗教信仰自由、人身自由、社会经济权利、文化教育权利等	13-law
公民的基本义务包括哪些？	维护国家统一和民族团结、遵守宪法和法律、维护国家安全荣誉利益、服兵役、纳税等	13-law
法律责任的主要类型有哪些？	民事责任、行政责任、刑事责任、违宪责任	13-law
民事法律行为的有效条件是什么？	①行为人有相应民事行为能力 ②意思表示真实 ③不违反法律强制性规定和公序良俗	13-law
什么是物权？	权利人依法对特定物享有直接支配和排他的权利（包括所有权、用益物权、担保物权）	13-law
什么是债权？	因合同、侵权行为、无因管理、不当得利等产生的请求特定人为或不为一定行为的权利	13-law
什么是知识产权？	智力成果权，包括著作权、专利权、商标权等	13-law
什么是正当防卫？	为保护合法权益，对正在进行的不法侵害采取的制止行为，不负刑事责任	13-law
什么是紧急避险？	为保护合法权益，不得已采取的损害另一较小合法权益的行为	13-law
犯罪的三个基本特征是什么？	社会危害性、刑事违法性、应受刑罚处罚性	13-law
什么是故意犯罪？	明知自己的行为会发生危害社会的结果，并且希望或放任这种结果发生	13-law
什么是过失犯罪？	应当预见自己的行为可能发生危害社会的结果，因疏忽大意没有预见或已经预见而轻信能够避免	13-law
我国刑法规定的刑事责任年龄是多少？	完全刑事责任年龄为16周岁；14-16周岁对八种严重犯罪负责；12-14周岁经最高检核准对故意杀人等负责	13-law
合同成立的要件是什么？	①当事人达成合意 ②具备要约和承诺 ③内容具体确定	13-law
诉讼时效的一般期间是多少年？	3年（自权利人知道或应当知道权利受到损害以及义务人之日起计算）	13-law
