Question	Answer	Tags
社交学习比独自学习效果好多少？	效果提升30-50%	记忆与社交,效果
费曼技巧的核心？	用最简单的语言教别人，教不会说明自己没懂	记忆与社交,方法
记住人名的有效方法？	特征提取+名字联想+对话中使用3次	记忆与社交,技巧
为什么"教别人"是最好的学习方式？	教学需要深度加工+主动提取+组织表达，三重巩固记忆	记忆与社交,机制
什么是"学习小组"的最佳规模？	3-5人，太少缺乏多样性，太多效率下降	记忆与社交,实践
如何在社交中练习记忆？	聚会后回忆人名/话题/细节，第二天做主动回忆测试	记忆与社交,练习
"拼图式教学法"是什么？	每人学一部分，再互相教学，形成完整知识拼图	记忆与社交,方法
社交焦虑如何影响记忆？	占用工作记忆资源，减少注意力分配给学习内容	记忆与社交,影响
如何记住初次见面的人名？	听到名字→重复一遍→找面部特征联想→对话中使用	记忆与社交,技巧
什么是"社会助长效应"？	他人在场时，简单任务表现提升，复杂任务表现下降	记忆与社交,效应
如何利用社交媒体辅助记忆？	加入学习社群，分享笔记，参与讨论，但控制使用时间	记忆与社交,工具
"解释效应"是什么？	向他人解释自己的理解时，能发现自己知识的盲点	记忆与社交,效应
社交互动对老年人记忆的保护作用？	社交活跃的老年人认知衰退风险降低40-50%	记忆与社交,老年
如何组织有效的学习讨论会？	每人准备一个主题→互相提问→总结辩论→反思收获	记忆与社交,实践
记忆训练可以作为社交活动吗？	可以：记忆比赛、知识竞赛、联想法接龙都是有趣的社交形式	记忆与社交,应用
