Question	Answer	Tags
记忆的核心公式是什么？	记忆效果 = 编码深度 × 存储巩固度 × 提取练习频率	33-速查手册
最有效的三大记忆技巧组合是什么？	记忆宫殿 + 间隔重复 + 主动回忆（三者协同效应最大，称为"黄金三角"）	33-速查手册
遗忘曲线的关键数据是什么？	学后20分钟忘42%，1小时忘56%，1天忘66%，1周忘75%，1个月忘79%	33-速查手册
每日记忆优化清单的核心步骤？	早晨运动后学习→每15分钟主动回忆→午睡20-30分钟→交错练习→睡前复习→保证7-8小时睡眠	33-速查手册
记忆的三个核心过程是什么？	编码（信息进入大脑）、存储（信息巩固保存）、提取（需要时回忆使用）	33-速查手册
间隔重复的推荐复习节奏是什么？	当天 → 第1天 → 第3天 → 第7天 → 第14天 → 第30天	33-速查手册
为什么主动回忆比反复阅读有效50%以上？	主动回忆（合上书回忆）能强化神经连接和提取通路，而被动重读只产生"熟悉感"假象，不加强真实记忆痕迹	33-速查手册
记忆宫殿适合记忆什么类型的信息？	大量有序信息，如演讲内容、考试知识点、列表等，通过将信息放在熟悉空间的固定位置来借用空间记忆系统	33-速查手册
组块法的原理是什么？	利用工作记忆容量限制（7±2），将零散信息打包成有意义的组块，突破工作记忆限制	33-速查手册
数字编码系统的基本原理？	数字→谐音→具体画面，例如00=铃铛🔔，11=筷子🥢，13=医生👨‍⚕️，一看就懂、画面具体、区分度高	33-速查手册
对抗遗忘曲线最有效的组合方法？	间隔重复+主动回忆，总共额外投入约23分钟，可将记忆保持率从21%提升至90%以上	33-速查手册
编码太抽象会导致什么问题？	用"仪器""东西"等抽象词会导致记忆模糊、区分度低。正确做法：具体物体+夸张画面+emoji辅助	33-速查手册
记忆宫殿+间隔重复+主动回忆三者为什么最强？	宫殿提供编码框架，间隔重复对抗遗忘曲线，主动回忆强化提取通路，三者形成完整的"编码-存储-提取"闭环	33-速查手册
LLM辅助记忆时最需要注意什么？	LLM是辅助工具不是记忆替代品，生成内容必须经过人工审核和主动回忆练习才能真正记住	33-速查手册
考试备考中每天需要花多少时间？	日常学习：每天15-30分钟间隔复习；考前冲刺：每天2-4小时，但要分散到全天而非集中突击	33-速查手册
"只重读不回忆"的典型表现是什么？	看笔记觉得"都会"，合上书全忘。正确做法是主动回忆 > 被动重读，效果差50%以上	33-速查手册
每日记忆优化中，早晨为什么要运动后学习？	运动后BDNF（脑源性神经营养因子）窗口期可提升记忆巩固20-30%	33-速查手册
午睡对记忆有什么帮助？	20-30分钟午睡可让海马体进行记忆重放，巩固上午所学内容	33-速查手册
睡眠对记忆的最低要求是什么？	保证7-8小时，室温18-20°C，深度睡眠是记忆固化的关键期	33-速查手册
思维导图的核心优势是什么？	放射状知识网络，手绘优于软件，适合梳理概念关系和框架，建立知识间的关联	33-速查手册
