Question	Answer	Tags
双重编码理论的核心观点？	人类认知由语言系统（词素）和非语言系统（意象）两个独立但互联的系统构成，同时编码效果最佳	多感官编码
文字+图像的记忆效果比单独文字高多少？	高50-80%，即时测试提升62.5%，1周后延迟测试提升80.6%	多感官编码
编码特异性原则是什么？	记忆提取成功取决于提取时线索与编码时情境信息的匹配程度，学习和测试环境一致时记忆提升35-50%	多感官编码
Godden & Baddeley 1975潜水员实验？	学习和测试环境一致时记忆表现提升35-50%，陆地学陆地测13.5词，陆地学水下测仅8.6词	多感官编码
嗅觉记忆的独特性是什么？	嗅觉是唯一不经过丘脑、直接连接海马体和杏仁核的感觉，气味可瞬间唤起数十年前的记忆	多感官编码
手写vs打字的记忆差异？	手写概念性理解比打字高34%（72% vs 54%），因手写激活运动皮层+视觉区+语言区三重编码	多感官编码
出声朗读比默读效果高多少？	出声朗读比默读记忆效果高15-20%，利用了语音回路的复述机制	多感官编码
具身认知理论的核心观点？	认知深深植根于身体的物理特性和感觉运动体验中，自我执行动作学习效果比仅观察高25-35%	多感官编码
多感官编码五步法？	视觉化→声音化→动作化→触觉化→气味化，每步激活不同感官通道增强记忆编码	多感官编码
普鲁斯特效应是什么？	气味触发自传体记忆的能力，气味-事件配对的记忆保持率在15年后仍高达65%	多感官编码
四感官编码比单一感官记忆提升多少？	四感官编码平均回忆率81%，单一感官42%，提升约93%	多感官编码
联觉记忆法与真正联觉的区别？	真正联觉是自动不自主的（约4%人口），联觉记忆法是有意识主动的策略，所有人都可学习	多感官编码
Baddeley工作记忆模型的语音回路？	由语音存储（约2秒容量）和发音复述（维持信息）两部分组成，是复述策略的神经基础	多感官编码
Tulving的编码特异性原则提出年份？	1973年由Endel Tulving提出，是记忆研究中最重要的理论之一	多感官编码
边走边记法的科学依据？	行走增强海马体θ波活动，学习后30-60分钟散步效果最佳，户外行走优于室内	多感官编码
