Question	Answer	Tags
学习全流程的三个阶段是什么？	预习（建空文件夹）→听课（主动编码）→复习（间隔提取）	04-实战应用
康奈尔笔记法的三个区域？	右侧主栏（70%记要点）+左侧窄栏（30%写提示词）+底部区域（1-2句总结）	04-实战应用
复习的黄金节奏是什么？	当天→第1天→第3天→第7天→第14天→第30天	04-实战应用
高考古诗词用什么方法记？	记忆宫殿+谐音+画面法，每句诗转化为生动画面串联成故事	04-实战应用
考研英语单词用什么方法？	词根词缀+联想+间隔重复，每天15-20个新词配合Anki	04-实战应用
演讲稿用什么方法记？	记忆宫殿+关键词法——记骨架不记逐字稿，排练≥4次	04-实战应用
考研备考分哪四个阶段？	基础阶段（1-3月建框架）→强化阶段（4-6月做题）→冲刺阶段（7-9月模拟）→考前阶段（10-12月回顾）	04-实战应用
记住人名的核心策略是什么？	初次见面30秒内完成面孔-姓名联想编码——先重复名字，再用FACE法编码面部特征	04-实战应用
FACE方法的四个编码维度？	F=Forehead（额头）+A=Age/Appearance（外貌）+C=Chin/Cheeks（下巴）+E=Eyes/Eyebrows（眼睛）	04-实战应用
姓名联想法的四种方式？	谐音法（找谐音创造画面）、形象法（字面含义创造画面）、名人法（找同名名人）、场景法（放入场景）	04-实战应用
历史年代记忆的核心方法？	数字编码+故事法——将年份拆解为有意义的画面与事件关联	04-实战应用
英语词汇记忆的完整工作流？	初次接触（多通道编码）→即时巩固（5分钟内回忆）→当日复习→间隔重复（Anki）→语境输出	04-实战应用
每天背多少新英语单词最合适？	15-20个新词——贪多嚼不烂，配合Anki间隔复习旧词效果最佳	04-实战应用
英语语法学习的四个阶段？	感知期（大量输入）→识别期（发现规律）→模仿期（造句练习）→内化期（大量输出）	04-实战应用
演讲记忆的核心原则是什么？	记骨架不记逐字稿——用记忆宫殿放关键词，现场用自己的话展开	04-实战应用
5分钟演讲需要几个记忆桩？	3个记忆桩（对应3个论点），每个论点1分钟，开头结尾各30秒	04-实战应用
演讲忘词时的首选应急策略？	跳过继续——不要停下来苦思冥想，直接讲下一个要点	04-实战应用
GTD方法的核心理念？	大脑是用来思考的不是用来存储的——所有待办事项在2分钟内进入外部系统	04-实战应用
Zettelkasten卡片笔记法的核心原则？	每个知识点写在独立卡片上，卡片之间通过链接形成网络——模拟大脑的网络结构	04-实战应用
费曼学习法的核心步骤？	1选概念 2用简单语言解释（假设听众12岁）3发现说不清的地方回头学 4简化和类比	04-实战应用
医学解剖学用什么记忆方法？	身体分区宫殿法——把人体分区域建立记忆宫殿，结合疾病-症状关联法	04-实战应用
法律条文用什么方法记忆？	框架法（先记体系骨架）+案例法（法条配真实案例）+口诀法+间隔重复	04-实战应用
编程知识用什么方法学习？	项目驱动法——通过实际项目记忆API和语法，而不是死记文档	04-实战应用
考研政治用什么记忆策略？	框架法+关键词法——先记住唯物论、辩证法、认识论的大框架，再填充关键词	04-实战应用
考研英语5500词用什么策略攻克？	词根词缀+间隔重复——每天30个新词用Anki管理，持续6个月	04-实战应用
考研数学公式怎么记？	推导记忆法——理解公式推导过程比死记更重要，随时可以从基本原理重新推导	04-实战应用
CPA备考的黄金公式是什么？	1500小时+5000题+5遍错题	04-实战应用
法考备考的黄金公式是什么？	2000小时+10000题+5遍错题	04-实战应用
考前一晚应该怎么做？	只看错题本和核心公式，不学新内容，23:00前睡觉——睡眠对记忆巩固比临时抱佛脚更有价值	04-实战应用
考试中提取知识的技巧有哪些？	先通览全卷（预激活）、利用启动效应（先做后面的激活前面的）、重建记忆情境（想象学习场景）	04-实战应用
间隔重复+主动回忆 vs 集中突击的效果差距？	使用间隔重复的学生期末成绩高出12.7分，一个月后差距扩大到18.3分	04-实战应用
雅思7分词汇记忆的特别策略？	同义词网络法（记一组同义词而非单个词）+话题词汇群+搭配记忆	04-实战应用
记忆宫殿在演讲中的应用步骤？	选熟悉地点→选固定位置（记忆桩）→把论点"放置"在位置上→闭眼走一遍	04-实战应用
多语言学习者如何避免语言间干扰？	语境隔离（不同语言不同时间/地点学习）+对比记忆+确定优先级	04-实战应用
预习的核心目标是什么？	不是学会而是"知道自己将要学什么"——标记框架和问题，把"学会"的任务留给课堂	04-实战应用
听课时如何进行主动编码？	每5-10分钟做即时关联（这和已知的什么有关？），每15分钟标记重点，课堂最后3分钟快速回顾	04-实战应用
错题分析应该问自己哪三个问题？	1这道题考的是哪个知识点？2我为什么会错？（记错/没记住/理解错误）3需要怎么补救？	04-实战应用
影子跟读法（Shadowing）的步骤？	第1遍只听不看文本→第2遍看文本标记生词→第3遍几乎同步跟读→第4遍自己朗读→第5遍尝试背诵	04-实战应用
面试/答辩中的记忆策略？	用记忆宫殿放核心论点+准备3个万能案例+排练≥4次+忘词时跳过继续用自己的话重述	04-实战应用
每日记忆训练的理想时间范围？	每天15-30分钟持续练习远胜于每周一次2小时突击——规律性比强度更重要	04-实战应用
