Question	Answer	Tags
前221年发生了什么重大历史事件？	秦始皇统一六国，建立秦朝｜编码：221→鳄衣（è yī）｜画面：秦始皇穿鳄鱼皮甲一剑劈开六国地图	历史 年份 编码
前206年发生了什么重大历史事件？	楚汉争霸开始｜编码：206→鹅铃（é líng）｜画面：项羽乌骓马挂铃铛冲向刘邦	历史 年份 编码
220年发生了什么重大历史事件？	三国鼎立（曹丕代汉建魏）｜编码：220→鹅铃铛｜画面：曹操刘备孙权各持铃铛对峙	历史 年份 编码
581年发生了什么重大历史事件？	隋朝建立（杨坚称帝）｜编码：581→我包衣｜画面：杨坚穿"我的包衣"登基称帝	历史 年份 编码
618年发生了什么重大历史事件？	唐朝建立（李渊开国）｜编码：618→留一把｜画面：李渊留下一把尚方宝剑开国	历史 年份 编码
960年发生了什么重大历史事件？	北宋建立（赵匡胤黄袍加身）｜编码：960→九六零｜画面：赵匡胤穿960号球衣黄袍加身	历史 年份 编码
1127年发生了什么重大历史事件？	南宋建立（靖康之变后赵构南渡）｜编码：1127→筷子夹耳机｜画面：赵构用筷子夹着鹅肉逃到南方	历史 年份 编码
1271年发生了什么重大历史事件？	元朝建立（忽必烈改国号为元）｜编码：1271→婴儿骑洗衣板｜画面：忽必烈婴儿骑搓衣板征服世界	历史 年份 编码
1368年发生了什么重大历史事件？	明朝建立（朱元璋称帝）｜编码：1368→一生路发｜画面：朱元璋从乞丐一路发迹到皇帝	历史 年份 编码
1644年发生了什么重大历史事件？	清军入关（吴三桂引清兵入关）｜编码：1644→一路死死｜画面：吴三桂引清军入关一路尸体	历史 年份 编码
1840年发生了什么重大历史事件？	鸦片战争爆发（英国侵华）｜编码：1840→一巴四零｜画面：英国大炮一巴掌打醒清朝	历史 年份 编码
1894年发生了什么重大历史事件？	甲午战争爆发｜编码：1894→一拔就死｜画面：北洋水师被一拔（击沉）就沉了	历史 年份 编码
1911年发生了什么重大历史事件？	辛亥革命爆发（推翻清朝）｜编码：1911→一旧一一｜画面：孙中山把旧报纸（清朝）撕成11碎片	历史 年份 编码
1921年发生了什么重大历史事件？	中国共产党成立（南湖红船）｜编码：1921→一九二一｜画面：13个人在小船上开会（南湖红船）	历史 年份 编码
1937年发生了什么重大历史事件？	抗日战争全面爆发（卢沟桥事变）｜编码：1937→一九三七｜画面：卢沟桥石狮子被炮火炸裂	历史 年份 编码
1949年发生了什么重大历史事件？	中华人民共和国成立（开国大典）｜编码：1949→一九四九｜画面：毛泽东在天安门城楼按下49个礼炮按钮	历史 年份 编码
1978年发生了什么重大历史事件？	改革开放开始（十一届三中全会）｜编码：1978→一九七八｜画面：邓小平推开大门门后是深圳高楼	历史 年份 编码
1997年发生了什么重大历史事件？	香港回归（英国交还香港主权）｜编码：1997→一九九七｜画面：英国国旗降落紫荆花旗升起的7秒定格	历史 年份 编码
2001年发生了什么重大历史事件？	中国加入WTO（世贸组织）｜编码：2001→二零零一｜画面：中国代表团签字笔尖发出金色光芒	历史 年份 编码
1945年发生了什么重大历史事件？	二战结束 / 联合国成立｜编码：1945→一九四五｜画面：45个国家代表在联合国签字	历史 年份 编码
