Question	Answer	Tags
听力记忆的核心是什么？	听觉编码+工作记忆+提取的完整链条	听力 核心
听力记忆的三个瓶颈？	编码速度慢、工作记忆容量小、提取线索缺失	听力 瓶颈
关键词锚定法的核心？	边听边标记关键词，用画面编码关键词	听力 关键词
影子跟读法是什么？	跟着音频同步复述，训练听觉编码速度	听力 影子跟读
听力考试的正确策略？	听前预览题目+关键词锚定+立即答题	听力 考试
同声传译的记忆挑战？	边听边翻译，工作记忆超载，需要提前准备术语	听力 同传
听力笔记的常用简写？	↑增加 ↓减少 →导致 ←因为 ≠不同 =等于	听力 笔记
绘画临摹的5个记忆维度？	比例、位置、形状、细节、颜色	绘画 维度
网格法的核心？	将画面分成网格，逐格观察和临摹，精确复制比例	绘画 网格
分层编码法的正确顺序？	整体轮廓→大块形状→细节特征	绘画 分层
特征锚定法是什么？	标记5-10个关键特征点，用特征点定位其他部分	绘画 特征
一比一复刻画最适合什么方法？	网格法：将画面分成网格逐格复制	绘画 复刻
运动记忆法的核心？	反复练习同一笔触100-200次，形成肌肉记忆	绘画 运动
色彩临摹的记忆策略？	先记主色调→用色彩编码法关联情感→记忆色彩对比关系	绘画 色彩
国画临摹的关键？	先记构图→用特征锚定法标记关键笔触→记忆留白位置	绘画 国画
台词记忆的四重编码？	理解层+情感层+画面层+运动层	台词 四重
角色分析法的核心？	理解角色背景、性格、动机、当前场景目标和情感状态	台词 角色
场景编码法怎么用？	按场景分组，每个场景用一个记忆宫殿站点放置核心画面	台词 场景
对手戏记忆法的核心？	通过对手的台词触发自己的台词，理解逻辑关系自然接上	台词 对手
反复朗读法的作用？	形成口腔肌肉记忆，台词变成"自动"行为	台词 朗读
话剧台词的记忆策略？	分幕记忆+场景编码+反复朗读+与对手排练	台词 话剧
广告台词的记忆策略？	理解核心卖点+与产品画面关联+反复朗读精确无误	台词 广告
