Question	Answer	Tags
Anki是什么？	免费开源的间隔重复闪卡软件，通过算法精确计算每张卡片的最佳复习时间	05-工具资源
Anki 2026年推荐开启什么算法？	FSRS算法——替代使用近20年的SM-2，减少30-50%复习量	05-工具资源
Anki创建卡片的最小信息原则是什么？	一张卡片只测试一个知识点——如果有3个要点就做3张卡片	05-工具资源
Anki每天建议添加多少新卡片？	20-30张——贪多嚼不烂，Anki的威力在于日积月累不在于突击	05-工具资源
Anki记忆保持率的理想范围？	85-92%——低于80%说明卡片质量或复习策略需要调整	05-工具资源
SuperMemo的核心优势是什么？	间隔重复算法的原创者，渐进阅读功能独一无二，算法最先进	05-工具资源
Quizlet的核心特色是什么？	界面美观易用，学习模式多样（闪卡/学习/拼写/测试/配对/多人对战），共享内容海量	05-工具资源
墨墨背单词的核心优势？	算法最精准（国产App中最接近Anki FSRS的），记忆曲线可视化做得最好	05-工具资源
不背单词的核心特色？	从影视/新闻/歌曲中提取真实例句，沉浸式语境记忆	05-工具资源
SmartRecall是什么？	AI闪卡生成工具——上传PDF后AI自动提取知识点生成多种题型闪卡，配合FSRS算法	05-工具资源
蜂鸟轻记是什么？	国产AI闪卡工具——AI拆解文档结构生成结构化卡片+FSRS调度+错题本，微信生态集成好	05-工具资源
入门记忆术推荐阅读什么书？	《与爱因斯坦月球漫步》——故事性强，作者从普通记者一年内成为全美记忆冠军	05-工具资源
学习科学推荐阅读什么书？	《认知天性》(Make It Stick)——系统介绍了检索练习、间隔学习、合意困难等科学学习策略	05-工具资源
系统学习记忆术推荐阅读什么书？	《超级记忆》——多米尼克·奥布莱恩（8次世界冠军）详细教授记忆宫殿、数字编码等核心技术	05-工具资源
习惯养成推荐阅读什么书？	《原子习惯》(Atomic Habits)——四大法则框架帮助将记忆训练变成每日自动化例行公事	05-工具资源
Coursera上推荐的学习科学课程？	"Learning How to Learn"（加州大学圣地亚哥分校）——学习科学基础、组块化、间隔重复	05-工具资源
世界记忆锦标赛的十大标准项目？	二进制数字、一小时数字、抽象图形、快速数字、快速扑克、一小时扑克、人名面孔、历史日期、随机词汇、听记数字	05-工具资源
30天行动计划的第一周重点？	了解记忆原理+安装Anki+学会联想法+完成基准测试，每天15-30分钟	05-工具资源
30天行动计划的第二周重点？	掌握记忆宫殿+数字编码系统+扑克牌记忆基础	05-工具资源
30天行动计划的第三周重点？	选择一个真实学习场景深度练习，将记忆术融入实际学习	05-工具资源
30天行动计划的第四周重点？	整合各种技巧+建立个人最佳实践体系+形成长期可持续习惯	05-工具资源
个人记忆评估的四个维度？	编码能力+存储能力+提取能力+工作记忆容量	05-工具资源
随机数字基准测试的评分标准？	0-5位=需重点训练，6-10位=中等，11-15位=良好，16-20位=优秀	05-工具资源
"天生记性差"有科学依据吗？	没有——Maguire研究发现记忆冠军的大脑结构与普通人无显著差异，优势来自策略和训练	05-工具资源
记忆术会影响创造力吗？	不会反而可能增强——记忆术的核心联想和想象本身就是创造性思维的练习	05-工具资源
看到记忆训练效果需要多长时间？	3-7天开始感受学习变有趣，2-4周记忆保持率明显提升，1-3个月形稳定习惯	05-工具资源
Anki断了几天复习怎么办？	偶尔1-2天完全没问题，断了一周分几天逐步消化，断了一个月以上暂停新卡集中处理积压	05-工具资源
每日记忆训练的理想时间范围？	每天15-30分钟持续练习远胜于每周一次2小时突击——规律性比强度更重要	05-工具资源
Anki的Cloze（填空题）功能怎么用？	输入"{{c1::海马体}}是大脑中负责记忆的关键结构"，卡片正面自动显示填空	05-工具资源
长期维护记忆训练的核心策略？	每天15分钟Anki复习+季度评估+年度规划，保持连续性比偶尔高强度更重要	05-工具资源
