Question	Answer	Tags
扑克牌编码的基本原理是什么？	为每张牌建立固定的编码人物，将抽象牌面转化为具体可想象的图像	02-card
扑克牌花色编码的分类逻辑是什么？	♠黑桃=男性名人，♥红心=女性名人，♦方块=男性虚构角色，♣梅花=女性虚构角色	02-card
PAO系统在扑克牌中如何应用？	每3张牌组成一个PAO画面：第1张提供P(人物)，第2张提供A(动作)，第3张提供O(物品)	02-card
PAO系统将52张牌压缩为多少个画面？	17个画面（52÷3=17组+1张余牌），记忆量减少67%	02-card
♠A（黑桃A）的编码人物是谁？	爱因斯坦（白发、吐舌头，A=最聪明的人）	02-card
♥A（红心A）的编码人物是谁？	奥黛丽·赫本（小黑裙、优雅，A=最美的女人）	02-card
♦A（方块A）的编码人物是谁？	超人（红蓝披风，DC最强英雄）	02-card
♣A（梅花A）的编码人物是谁？	艾莎（冰雪奇缘，冰雪魔法、蓝裙）	02-card
♠K的编码人物是谁？	拿破仑（三角帽、军装，征服欧洲的国王）	02-card
♥Q的编码人物是谁？	蒙娜丽莎（神秘微笑、画框，艺术界的女王）	02-card
扑克牌编码中，J、Q、K分别代表什么形象？	J=少年（哈利波特、赫敏等），Q=成熟女性/权威（福尔摩斯、蒙娜丽莎等），K=统治者/领袖（拿破仑、伊丽莎白等）	02-card
速度扑克牌（Speed Cards）的规则是什么？	记忆1副52张牌，5分钟记忆+5分钟回忆，52张全对才算有效成绩，每人两次机会取最佳	02-card
锦标赛记忆扑克牌的关键是什么？	速度+准确性+心态管理；赛前减量保持状态，赛中匀速不看计时器，赛后复盘分析错误	02-card
PAO画面构建的黄金法则是什么？	P做A这个动作作用于O，画面越荒诞夸张越好记，加入颜色、声音、气味等感官细节	02-card
PAO系统中，♠5的P/A/O分别是什么？	P=武松，A=打虎，O=哨棒	02-card
PAO系统中，♦7的P/A/O分别是什么？	P=柯南，A=推眼镜，O=领结变声器	02-card
扑克牌编码训练的初级目标是什么？	52张牌在3分钟内完成编码识别（约3.5秒/张），正确率>95%	02-card
扑克牌编码中，如何区分♠5武松和♥5武则天？	武松=男性+打虎+粗犷暴力；武则天=女性+坐龙椅+威严权力	02-card
一副标准扑克牌记忆需要准备多少个宫殿桩位？	至少52个桩位（每张牌一个位置），或17个桩位（PAO三张一组）	02-card
斗地主经验如何辅助扑克牌记忆？	先数大小王和2（6张关键牌），炸弹用夸张画面，顺子等组合用编码串联	02-card
