Question	Answer	Tags
专注力与记忆的关系是什么？	注意力是记忆的"门户"——没有专注就没有记忆	专注力 原理
前额叶在专注力中的作用？	前额叶负责注意力控制和工作记忆	专注力 神经科学
番茄工作法的核心是什么？	25分钟专注+5分钟休息，每4个番茄长休15分钟	专注力 番茄工作法
单任务训练的方法？	一次只做一件事，不切换任务，训练注意力持续性	专注力 单任务
学习前设定意图的作用？	明确学习目标，激活相关神经网络，提升专注力	专注力 策略
手机对专注力的影响？	手机通知会打断注意力，每次打断需要23分钟恢复	专注力 干扰
分块学习的核心是什么？	将学习内容分成小块，每块25-30分钟，中间休息	专注力 分块
疲劳学习为什么效果差？	疲劳时前额叶功能下降，注意力和工作记忆都受损	专注力 疲劳
习惯回路的三个部分？	触发器→行为→奖赏	习惯 回路
21天法则的核心是什么？	连续21天重复一个行为可以形成习惯	习惯 21天
习惯堆叠是什么？	将新习惯附加在已有习惯之后	习惯 堆叠
最小习惯是什么？	将习惯分解为最小可执行的版本	习惯 最小
5分钟法则怎么用？	先做5分钟，克服拖延，进入状态后继续	习惯 拖延
触发器设计的方法？	将习惯与特定时间/地点/行为关联	习惯 触发器
情境依赖记忆是什么？	在相同环境中学习和测试，记忆效果更好	环境 情境
最佳学习光线是多少lux？	500lux自然光最佳	环境 光线
最佳学习温度是多少？	20-22°C	环境 温度
多环境学习为什么有效？	变换环境提供更多编码线索，增强记忆提取	环境 多环境
白噪音对学习有帮助吗？	适度白噪音（50-70分贝）可以掩盖干扰噪音，帮助专注	环境 噪音
手机管理的最佳策略？	学习时将手机放在另一个房间或使用专注模式	环境 数字
