Question	Answer	Tags
冥想对记忆的三大益处？	增加海马体体积+提升注意力+降低皮质醇水平	记忆与冥想,益处
学习前冥想多久最合适？	5分钟	记忆与冥想,实践
冥想的核心原则？	观察思绪而不评判，觉察而不卷入	记忆与冥想,原则
冥想增加海马体体积的证据来源？	Sara Lazar 2005年哈佛研究，8周正念训练后海马体灰质增加	记忆与冥想,研究
什么是"正念冥想"？	专注当下体验，不回忆过去不担忧未来	记忆与冥想,概念
冥想如何降低皮质醇？	激活副交感神经，减少应激反应，降低HPA轴活性	记忆与冥想,机制
"呼吸计数法"怎么做？	每次呼气时计数，从1数到10，走神后从1重新开始	记忆与冥想,技巧
为什么冥想能提升注意力？	训练前额叶皮层的持续专注能力和抗干扰能力	记忆与冥想,机制
"身体扫描"冥想对记忆有什么帮助？	增强本体觉察，减少焦虑干扰，改善编码前的心理状态	记忆与冥想,技巧
什么是"开放觉知"冥想？	不聚焦于单一对象，而是觉察所有进入意识的体验	记忆与冥想,概念
冥想最佳时间段？	早晨起床后和学习前，避免饭后立即冥想	记忆与冥想,实践
冥想前的"注意力锚点"是什么？	选择一个专注对象（呼吸、身体感觉、声音）作为注意力的落脚点	记忆与冥想,技巧
5分钟冥想的标准流程？	坐直→闭眼→关注呼吸→走神时温柔拉回→结束前感恩	记忆与冥想,实践
冥想中的"走神"是失败吗？	不是，走神→觉察→拉回的过程本身就是训练	记忆与冥想,原则
如何量化冥想对记忆的改善？	通过N-back测试、工作记忆容量测试、学习效率对比	记忆与冥想,评估
