Question	Answer	Tags
职场记忆的四大场景是什么？	客户关系记忆、产品知识记忆、演讲汇报记忆、会议记录记忆	36-职场记忆
记住客户名字最有效的方法是什么？	人脸特征提取法（抓取最显著特征）+ 名字联想法（将名字与画面建立联系）	36-职场记忆
快速学习新产品的正确步骤是什么？	第一遍快速浏览提取核心卖点→第二遍深入学习参数和功能→第三遍与竞品对比建立编码→用Anki间隔复习	36-职场记忆
演讲汇报适合用什么记忆方法？	宫殿法（将结构放在宫殿里）+ 关键词法（每个要点一个关键词）+ 故事法（数据串联成故事）	36-职场记忆
会议记录记忆的核心方法是什么？	编码法记录决议+宫殿法存储待办+工具辅助（Notion/Obsidian记录决议和待办）	36-职场记忆
职场记忆训练需要额外时间吗？	不需要。利用碎片时间：通勤回忆客户名字、午休前回顾要点、等电梯时复习产品参数，每天15分钟碎片时间即可	36-职场记忆
产品知识记忆的核心方法有哪些？	编码法（数字参数转化）+ 对比法（与竞品对比）+ 宫殿法（产品特性放不同站点）	36-职场记忆
高效阅读行业报告的步骤是什么？	先看目录和结论→提取关键数据和趋势→用编码法记忆数据→用宫殿法存储结论	36-职场记忆
行业知识体系如何构建？	用思维导图梳理框架→用记忆宫殿存储核心知识点→用间隔重复巩固长期记忆	36-职场记忆
职场记忆的CRM工具起什么作用？	记录客户信息，定期提醒复习，辅助人脸特征提取和名字联想	36-职场记忆
早晨到公司前应该做什么记忆准备？	10分钟回顾今天客户拜访计划+5分钟回忆昨天学到的新知识	36-职场记忆
职场记忆的关键筛选原则是什么？	不要试图记住一切，学会筛选重要信息，用工具辅助记录次要信息	36-职场记忆
记忆宫殿法适合记PPT内容吗？	非常适合。将PPT每页放在宫殿一个站点上，演讲时只需"走"一遍宫殿	36-职场记忆
下班后的记忆优化建议是什么？	15分钟回顾今天收获→用Anki复习行业知识→规划明天的记忆任务	36-职场记忆
"人脸特征提取法"的核心思路是什么？	抓取客户最显著的外貌特征（大鼻子、戴眼镜、说话声音等），与名字建立视觉联想	36-职场记忆
如何快速记住团队成员的名字和职责？	第一天用联想法记名字+用宫殿法将人名与工位位置绑定，一周内反复回忆	36-职场记忆
新员工入职如何快速学习公司产品？	先画产品架构图(全局)→用编码法记核心参数→用对比法与竞品区分→用Anki间隔复习	36-职场记忆
如何高效记忆行业数据和报告？	提取关键数字→用谐音编码转化→用宫殿法按章节存放→每天5分钟回忆巩固	36-职场记忆
如何准备一场记忆深刻的演讲？	宫殿法存放结构(开场→论点1→论点2→结尾)+每页PPT一个视觉锚点+至少排练3遍	36-职场记忆
面试前如何快速准备公司信息？	用宫殿法存放：公司历史(站点1)、核心产品(站点2)、竞品分析(站点3)、创始人故事(站点4)	36-职场记忆
如何记住大量客户跟进记录？	按客户分类建宫殿(A类大客户、B类潜力客户、C类普通客户)，每个宫殿站点放关键跟进信息	36-职场记忆
