Question	Answer	Tags
记忆与创造力的关系？	互补关系——记忆提供创造力的原材料，创造力帮助记忆编码	记忆与创造力,关系
记忆训练如何提升创造力？	宫殿法训练想象力+联想法训练发散思维+故事法训练叙事能力	记忆与创造力,方法
什么是"随机联想练习"？	30秒内为两个不相关词语建立荒诞联想	记忆与创造力,练习
为什么记忆宫殿能激发创造力？	迫使大脑建立非逻辑的荒诞连接，训练发散思维	记忆与创造力,机制
什么是"发散思维"？	从一个点出发产生多种不同想法的能力	记忆与创造力,概念
如何用"SCAMPER"法激发创意？	替代+合并+调整+修改+挪用+消除+重排	记忆与创造力,方法
"远距离联想"是什么？	将表面无关的概念建立深层联系的能力，是创造力的核心	记忆与创造力,概念
记不住灵感怎么办？	随身携带笔记本或使用手机备忘录，灵感产生后立即记录	记忆与创造力,技巧
什么是"双过程理论"？	创造力=生成（发散思维）+评估（收敛思维）交替进行	记忆与创造力,理论
如何用记忆法辅助头脑风暴？	用宫殿法放置关键词，用联想法建立概念间的意外连接	记忆与创造力,方法
"强制关联法"怎么做？	随机选两个物体，强制找出3个共同点和3个差异	记忆与创造力,练习
睡眠对创造力有什么帮助？	REM睡眠阶段大脑重新组合记忆片段，产生新的连接	记忆与创造力,机制
什么是"孵化效应"？	暂时搁置问题后，潜意识继续处理，突然产生解决方案	记忆与创造力,概念
如何用"逆向思维"激发创意？	把问题反过来想：如何让事情变得更糟？然后反转答案	记忆与创造力,技巧
记忆容量大的人创造力更强吗？	不一定，关键不是容量而是连接能力——能否跨领域联想	记忆与创造力,误区
