Question	Answer	Tags
正常衰老与MCI的核心区别？	正常衰老：偶尔遗忘后能想起；MCI：频繁遗忘且无法回忆	老年记忆,诊断
MIND饮食的核心食物有哪些？	绿叶蔬菜、坚果、浆果、深海鱼、全谷物、橄榄油	老年记忆,营养
老年人推荐每天训练多长时间？	15-20分钟，避免疲劳	老年记忆,训练
什么是MCI（轻度认知障碍）？	介于正常衰老和痴呆之间的过渡状态，有客观认知下降	老年记忆,诊断
MIND饮食建议每周吃几次鱼？	至少每周1次（推荐每周2次）	老年记忆,营养
老年人为什么需要更短的学习时段？	注意力持续时间缩短，疲劳更快，短时段效率更高	老年记忆,训练
社交活动对老年记忆有什么帮助？	降低认知衰退风险40-50%，刺激多脑区协同工作	老年记忆,社交
什么是"认知储备"？	大脑应对损伤的缓冲能力，受教育、社交、智力活动影响	老年记忆,概念
老年人学习新技能对记忆有什么好处？	促进神经可塑性，增强海马体功能	老年记忆,训练
有氧运动对老年记忆的影响？	增加海马体体积2%，改善血流和BDNF分泌	老年记忆,运动
什么是"双任务训练"？	同时执行认知任务和身体任务（如边走路边算数）	老年记忆,训练
老年人使用助记工具的建议？	结合电子提醒+纸质笔记+环境线索（如固定位置放钥匙）	老年记忆,工具
睡眠对老年记忆有多重要？	深度睡眠减少是记忆衰退的关键因素，建议7-8小时	老年记忆,睡眠
什么是"认知训练的游戏化"？	将记忆练习设计成游戏形式，提升动机和依从性	老年记忆,方法
老年记忆训练的核心原则？	循序渐进、多感官参与、保持趣味性、社交化	老年记忆,原则
